以下のデータは CC0 で公開可となります。,,,,,,,,"twitter,facebook,ホームページを入れて行って頂けると助かります。他はだいたい入っていますが生年月日が年までしか入っていないものがあります。10/5 higa4",,,,,,,
wikidata への登録時に「出典URL」を「http://www.dot-jp.or.jp/seijinavi/」に設定していただけるとありがたく。,,,,,,,,現在登録済み数,127,15.34%,が完了しています。,,,,
登録が終わったら wikidata Q を書いてもらえると助かります,,,,,,,,,,,,Wikidataへの登録状況,,,
wikidata,名前,姓,名,名（フリガナ）,姓（フリガナ）,性別,生年月日,Twitterアドレス,Facebookページアドレス,ホームページアドレス1,ホームページアドレス2(ブログも可),担当,登録予定日,完了日,メモ
Q11453336,宮内秀樹,宮内,秀樹,ヒデキ,ミヤウチ,男,19621019,miyauchihideki,https://www.facebook.com/MiyauchiHideki,http://miyauchihideki.jp/,,,,,
Q11454258,宮崎岳志,宮崎,岳志,タケシ,ミヤザキ,男,19700214,,,http://miya-take.net/,,,,,
Q11454333,宮崎政久,宮崎,政久,マサヒサ,ミヤザキ,男,19650808,,http://www.facebook.com/masahisa.miyazaki.9,http://www.miyazakirin.com/,,,,,
Q11454668,宮川典子,宮川,典子,ノリコ,ミヤガワ,女,19790405,,,http://miyagawanoriko.com/,,,,,
Q11454828,宮本岳志,宮本,岳志,タケシ,ミヤモト,男,19591225,,,http://www.miyamoto-net.net/,,,,,
Q11455005,宮沢博行,宮沢,博行,ヒロユキ,ミヤザワ,男,19750110,,,,,,,,
Q11458942,小倉将信,小倉,将信,マサノブ,オグラ,男,19810530,masanobu_ogura,https://www.facebook.com/ogura.masanobu/,http://www.ogura-m.jp/,http://ameblo.jp/ogura-masanobu/,higa4,10/5,10/5,
Q11459848,小山展弘,小山,展弘,ノブヒロ,コヤマ,男,19751226,,,http://www.n-koyama.com/,,,,,
Q11460163,小島敏文,小島,敏文,トシフミ,コジマ,男,19500907,,,http://kojima-toshifumi.jp/,,,,,
Q11461246,小松裕,小松,裕,ユタカ,コマツ,男,19611203,komatsu_yutaka,,http://www.komatsuyutaka.com/index.html,,higa4,10/5,10/5,
Q11461458,小林史明,小林,史明,フミアキ,コバヤシ,男,19830408,kb2474,https://www.facebook.com/fumiaki.kobayashi.2012,http://fumiaki-kobayashi.jp/,https://fumiaki-kobayashi.jp/,ninofku,10/5,10/5,
Q11461955,小林鷹之,小林,鷹之,タカユキ,コバヤシ,男,19741129,kobahawk,,http://www.kobayashi-takayuki.jp/,,,,,
Q11462582,小泉龍司,小泉,龍司,リュウジ,コイズミ,男,19520917,,,http://ryuji.org/index.php,,,,,
Q11462766,小熊慎司,小熊,慎司,シンジ,オグマ,男,19680616,oguma_shinji,,http://oguma-s.com/,,,,,
Q11462993,小田原きよし,小田原,きよし,キヨシ,オダワラ,男,19640523,odawarakiyoshi,https://www.facebook.com/%E5%B0%8F%E7%94%B0%E5%8E%9F%E3%81%8D%E3%82%88%E3%81%97-319460971405607,http://odawarakiyoshi.jp/,http://ameblo.jp/odawarakiyoshi/,higa4,10/5,10/5,
Q11465449,尾身朝子,尾身,朝子,アサコ,オミ,女,19610426,,,,,,,,
Q11466071,山下貴司,山下,貴司,タカシ,ヤマシタ,男,19650908,yamashita_ok,,http://yamashita-takashi.jp/,,,,,
Q11466249,山井和則,山井,和則,カズノリ,ヤマノイ,男,19620106,yamanoikazunori,,http://www.yamanoi.net/,,,,,
