db,person,property,value
ours,Q41770624,P569,1948-09-06T00:00:00+00:00
ours,Q41770625,P569,1975-04-20T00:00:00+00:00
ours,Q41770626,P569,1950-12-02T00:00:00+00:00
ours,Q41770628,P569,1949-03-02T00:00:00+00:00
ours,Q41770630,P569,1979-10-30T00:00:00+00:00
ours,Q41770631,P569,1950-03-26T00:00:00+00:00
ours,Q41770632,P569,1949-08-14T00:00:00+00:00
ours,Q41770634,P569,1987-05-11T00:00:00+00:00
ours,Q41770635,P569,1948-01-27T00:00:00+00:00
ours,Q41770636,P569,1950-09-07T00:00:00+00:00
ours,Q41770639,P569,1941-11-20T00:00:00+00:00
ours,Q41770640,P569,1953-01-19T00:00:00+00:00
ours,Q41770642,P569,1982-09-25T00:00:00+00:00
ours,Q41770643,P569,1946-07-02T00:00:00+00:00
ours,Q41770646,P569,1979-01-24T00:00:00+00:00
ours,Q41770647,P569,1979-03-20T00:00:00+00:00
ours,Q41770649,P569,1959-10-24T00:00:00+00:00
ours,Q41770650,P569,1961-01-15T00:00:00+00:00
ours,Q41770651,P569,1983-02-14T00:00:00+00:00
ours,Q41770652,P569,1961-01-19T00:00:00+00:00
ours,Q41770653,P569,1943-09-13T00:00:00+00:00
ours,Q41770655,P569,1969-02-02T00:00:00+00:00
ours,Q41770656,P569,1952-10-29T00:00:00+00:00
ours,Q41770657,P569,1977-03-28T00:00:00+00:00
ours,Q41770658,P569,1956-01-22T00:00:00+00:00
ours,Q41770659,P569,1961-07-01T00:00:00+00:00
ours,Q41770661,P569,1982-01-19T00:00:00+00:00
ours,Q41770662,P569,1956-04-24T00:00:00+00:00
ours,Q41770664,P569,1952-11-06T00:00:00+00:00
ours,Q41770665,P569,1949-01-01T00:00:00+00:00
ours,Q41770666,P569,1983-05-14T00:00:00+00:00
ours,Q41770667,P569,1954-02-11T00:00:00+00:00
ours,Q41770669,P569,1984-03-15T00:00:00+00:00
ours,Q41770670,P569,1974-09-22T00:00:00+00:00
ours,Q41770671,P569,1974-09-19T00:00:00+00:00
ours,Q41770673,P569,1987-12-16T00:00:00+00:00
ours,Q41770675,P569,1958-12-09T00:00:00+00:00
ours,Q41770677,P569,1959-01-14T00:00:00+00:00
ours,Q41770678,P569,1970-09-20T00:00:00+00:00
ours,Q41770679,P569,1959-04-28T00:00:00+00:00
ours,Q41770680,P569,1972-07-15T00:00:00+00:00
ours,Q41770682,P569,1966-04-12T00:00:00+00:00
ours,Q41770685,P569,1959-07-13T00:00:00+00:00
ours,Q41770686,P569,1969-08-14T00:00:00+00:00
ours,Q41770687,P569,1949-12-14T00:00:00+00:00
ours,Q41770688,P569,1974-07-27T00:00:00+00:00
ours,Q41770689,P569,1978-11-07T00:00:00+00:00
ours,Q41770690,P569,1974-02-17T00:00:00+00:00
ours,Q41770692,P569,1950-01-22T00:00:00+00:00
ours,Q41770694,P569,1950-01-29T00:00:00+00:00
ours,Q41770695,P569,1971-09-22T00:00:00+00:00
ours,Q41770696,P569,1954-08-24T00:00:00+00:00
ours,Q41770697,P569,1976-06-15T00:00:00+00:00
ours,Q41770698,P569,1954-02-07T00:00:00+00:00
ours,Q41770700,P569,1957-05-30T00:00:00+00:00
ours,Q41770702,P569,1968-11-25T00:00:00+00:00
ours,Q41770703,P569,1980-11-27T00:00:00+00:00
ours,Q41770705,P569,1954-08-20T00:00:00+00:00
ours,Q41770706,P569,1970-06-29T00:00:00+00:00
ours,Q41770708,P569,1969-05-22T00:00:00+00:00
ours,Q41770709,P569,1977-02-06T00:00:00+00:00
ours,Q41770711,P569,1959-07-02T00:00:00+00:00
ours,Q41770712,P569,1983-10-07T00:00:00+00:00
ours,Q41770714,P569,1947-12-01T00:00:00+00:00
ours,Q41770715,P569,1969-07-06T00:00:00+00:00
ours,Q41770719,P569,1979-12-19T00:00:00+00:00
ours,Q41770721,P569,1943-05-15T00:00:00+00:00
ours,Q41770722,P569,1967-04-20T00:00:00+00:00
ours,Q41770723,P569,1947-07-22T00:00:00+00:00
ours,Q41770724,P569,1955-08-17T00:00:00+00:00
ours,Q41770725,P569,1964-01-29T00:00:00+00:00
ours,Q41770726,P569,1952-06-02T00:00:00+00:00
ours,Q41770727,P569,1950-04-08T00:00:00+00:00
ours,Q41770729,P569,1978-01-10T00:00:00+00:00
ours,Q41770730,P569,1977-04-27T00:00:00+00:00
ours,Q41770731,P569,1948-05-20T00:00:00+00:00
ours,Q41770734,P569,1955-03-26T00:00:00+00:00
ours,Q41770735,P569,1962-11-18T00:00:00+00:00
ours,Q41770737,P569,1957-12-14T00:00:00+00:00
ours,Q41770740,P569,1957-01-29T00:00:00+00:00
ours,Q41770741,P569,1974-10-06T00:00:00+00:00
ours,Q41770742,P569,1973-04-12T00:00:00+00:00
ours,Q41770743,P569,1985-09-14T00:00:00+00:00
ours,Q41770746,P569,1958-12-16T00:00:00+00:00
ours,Q41770747,P569,1971-04-23T00:00:00+00:00
ours,Q41770748,P569,1965-09-12T00:00:00+00:00
ours,Q41770750,P569,1958-06-20T00:00:00+00:00
ours,Q41770751,P569,1985-05-16T00:00:00+00:00
ours,Q41770753,P569,1983-08-30T00:00:00+00:00
ours,Q41770754,P569,1972-03-25T00:00:00+00:00
ours,Q41770755,P569,1990-11-29T00:00:00+00:00
ours,Q41770761,P569,1974-08-15T00:00:00+00:00
ours,Q41770763,P569,1979-11-25T00:00:00+00:00
ours,Q41770764,P569,1980-06-04T00:00:00+00:00
ours,Q41770766,P569,1992-08-10T00:00:00+00:00
ours,Q41770770,P569,1973-12-09T00:00:00+00:00
ours,Q41770773,P569,1950-01-05T00:00:00+00:00
ours,Q41770774,P569,1970-07-24T00:00:00+00:00
ours,Q41770775,P569,1975-03-26T00:00:00+00:00
ours,Q41770776,P569,1948-02-05T00:00:00+00:00
ours,Q41770779,P569,1948-12-23T00:00:00+00:00
ours,Q41770780,P569,1960-02-23T00:00:00+00:00
ours,Q41770781,P569,1970-12-03T00:00:00+00:00
ours,Q41770782,P569,1981-02-27T00:00:00+00:00
ours,Q41770784,P569,1969-05-01T00:00:00+00:00
ours,Q41770785,P569,1958-03-20T00:00:00+00:00
ours,Q41770788,P569,1973-11-25T00:00:00+00:00
ours,Q41770789,P569,1954-04-23T00:00:00+00:00
ours,Q41770791,P569,1982-01-30T00:00:00+00:00
ours,Q41770792,P569,1985-04-05T00:00:00+00:00
ours,Q41770793,P569,1950-03-13T00:00:00+00:00
ours,Q41770795,P569,1972-05-27T00:00:00+00:00
ours,Q41770797,P569,1968-08-06T00:00:00+00:00
ours,Q41770800,P569,1980-06-06T00:00:00+00:00
ours,Q41770804,P569,1982-12-22T00:00:00+00:00
ours,Q41770805,P569,1983-10-09T00:00:00+00:00
ours,Q41770806,P569,1960-06-18T00:00:00+00:00
ours,Q41770808,P569,1951-05-28T00:00:00+00:00
ours,Q41770813,P569,1977-01-17T00:00:00+00:00
ours,Q41770814,P569,1956-10-30T00:00:00+00:00
ours,Q41770815,P569,1971-02-05T00:00:00+00:00
ours,Q41770816,P569,1963-09-11T00:00:00+00:00
ours,Q41770817,P569,1962-03-02T00:00:00+00:00
ours,Q41770818,P569,1952-10-11T00:00:00+00:00
ours,Q41770820,P569,1984-02-16T00:00:00+00:00
ours,Q41770822,P569,1954-07-23T00:00:00+00:00
ours,Q41770824,P569,1954-04-04T00:00:00+00:00
ours,Q41770826,P569,1949-05-24T00:00:00+00:00
ours,Q41770828,P569,1948-05-05T00:00:00+00:00
ours,Q41770830,P569,1958-04-10T00:00:00+00:00
ours,Q41770834,P569,1954-05-09T00:00:00+00:00
ours,Q41770835,P569,1945-12-20T00:00:00+00:00
ours,Q41770837,P569,1960-07-15T00:00:00+00:00
ours,Q41770839,P569,1974-08-31T00:00:00+00:00
ours,Q41770844,P569,1978-08-08T00:00:00+00:00
ours,Q41770845,P569,1963-09-06T00:00:00+00:00
ours,Q41770846,P569,1948-01-15T00:00:00+00:00
ours,Q41770847,P569,1985-12-09T00:00:00+00:00
ours,Q41770848,P569,1969-09-01T00:00:00+00:00
ours,Q41770850,P569,1951-10-23T00:00:00+00:00
ours,Q41770851,P569,1959-01-16T00:00:00+00:00
ours,Q41770852,P569,1980-08-11T00:00:00+00:00
ours,Q41770856,P569,1955-12-29T00:00:00+00:00
ours,Q41770857,P569,1984-04-30T00:00:00+00:00
ours,Q41770859,P569,1960-05-01T00:00:00+00:00
ours,Q41770860,P569,1957-08-28T00:00:00+00:00
ours,Q41770863,P569,1975-05-20T00:00:00+00:00
ours,Q41770864,P569,1974-01-30T00:00:00+00:00
ours,Q41770866,P569,1963-02-23T00:00:00+00:00
ours,Q41770867,P569,1978-01-01T00:00:00+00:00
ours,Q41770869,P569,1960-09-18T00:00:00+00:00
ours,Q41770872,P569,1968-02-05T00:00:00+00:00
ours,Q41770873,P569,1973-12-01T00:00:00+00:00
ours,Q41770875,P569,1984-10-04T00:00:00+00:00
ours,Q41770877,P569,1986-02-22T00:00:00+00:00
ours,Q41770878,P569,1975-01-28T00:00:00+00:00
ours,Q41770880,P569,1959-06-22T00:00:00+00:00
ours,Q41770882,P569,1980-12-27T00:00:00+00:00
ours,Q41770883,P569,1976-10-14T00:00:00+00:00
ours,Q41770884,P569,1969-04-14T00:00:00+00:00
ours,Q41770885,P569,1972-02-27T00:00:00+00:00
ours,Q41770886,P569,1957-08-13T00:00:00+00:00
ours,Q41770887,P569,1948-12-16T00:00:00+00:00
ours,Q41770889,P569,1974-11-12T00:00:00+00:00
ours,Q41770890,P569,1950-03-03T00:00:00+00:00
ours,Q41770892,P569,1975-07-26T00:00:00+00:00
ours,Q41770893,P569,1966-06-20T00:00:00+00:00
ours,Q41770894,P569,1953-11-09T00:00:00+00:00
ours,Q41770896,P569,1959-07-16T00:00:00+00:00
ours,Q41770898,P569,1981-02-16T00:00:00+00:00
ours,Q41770900,P569,1961-05-23T00:00:00+00:00
ours,Q41770901,P569,1952-08-26T00:00:00+00:00
ours,Q41770903,P569,1979-09-24T00:00:00+00:00
ours,Q41770904,P569,1952-02-14T00:00:00+00:00
ours,Q41770906,P569,1972-07-22T00:00:00+00:00
ours,Q41770908,P569,1975-10-04T00:00:00+00:00
ours,Q41770909,P569,1960-08-10T00:00:00+00:00
ours,Q41770911,P569,1968-07-04T00:00:00+00:00
ours,Q41770914,P569,1991-02-01T00:00:00+00:00
ours,Q41770915,P569,1965-08-25T00:00:00+00:00
ours,Q41770918,P569,1950-06-30T00:00:00+00:00
ours,Q41770920,P569,1974-09-26T00:00:00+00:00
ours,Q41770922,P569,1949-10-11T00:00:00+00:00
ours,Q41770924,P569,1967-07-04T00:00:00+00:00
ours,Q41770925,P569,1952-07-08T00:00:00+00:00
ours,Q41770926,P569,1971-11-11T00:00:00+00:00
ours,Q41770927,P569,1948-04-09T00:00:00+00:00
ours,Q41770929,P569,1971-04-14T00:00:00+00:00
ours,Q41770931,P569,1970-08-16T00:00:00+00:00
ours,Q41770933,P569,1948-02-09T00:00:00+00:00
ours,Q41770936,P569,1956-06-01T00:00:00+00:00
ours,Q41770938,P569,1963-12-02T00:00:00+00:00
ours,Q41770939,P569,1959-04-18T00:00:00+00:00
ours,Q41770941,P569,1961-08-07T00:00:00+00:00
ours,Q41770942,P569,1979-01-29T00:00:00+00:00
ours,Q41770943,P569,1951-10-21T00:00:00+00:00
ours,Q41770945,P569,1955-01-16T00:00:00+00:00
ours,Q41770946,P569,1979-04-25T00:00:00+00:00
ours,Q41770948,P569,1954-08-13T00:00:00+00:00
ours,Q41770949,P569,1964-02-06T00:00:00+00:00
ours,Q41770951,P569,1975-12-08T00:00:00+00:00
ours,Q41770953,P569,1947-03-30T00:00:00+00:00
ours,Q41770955,P569,1980-11-26T00:00:00+00:00
ours,Q41770956,P569,1971-01-12T00:00:00+00:00
ours,Q41770959,P569,1966-10-22T00:00:00+00:00
ours,Q41770960,P569,1976-04-20T00:00:00+00:00
ours,Q41770961,P569,1956-09-16T00:00:00+00:00
ours,Q41770962,P569,1955-01-15T00:00:00+00:00
ours,Q41770963,P569,1957-04-03T00:00:00+00:00
ours,Q41770965,P569,1966-02-08T00:00:00+00:00
ours,Q41770967,P569,1954-10-16T00:00:00+00:00
ours,Q41770968,P569,1991-07-10T00:00:00+00:00
ours,Q41770969,P569,1983-06-28T00:00:00+00:00
ours,Q41770971,P569,1982-08-02T00:00:00+00:00
ours,Q41770972,P569,1962-11-25T00:00:00+00:00
ours,Q41770973,P569,1983-05-19T00:00:00+00:00
ours,Q41770974,P569,1952-11-08T00:00:00+00:00
ours,Q41770976,P569,1951-02-04T00:00:00+00:00
ours,Q41770978,P569,1976-06-26T00:00:00+00:00
ours,Q41770979,P569,1956-01-27T00:00:00+00:00
ours,Q41770980,P569,1962-08-09T00:00:00+00:00
ours,Q41770981,P569,1973-10-10T00:00:00+00:00
ours,Q41770983,P569,1957-09-09T00:00:00+00:00
ours,Q41770984,P569,1964-12-18T00:00:00+00:00
ours,Q41770986,P569,1963-01-17T00:00:00+00:00
ours,Q41770988,P569,1949-01-02T00:00:00+00:00
ours,Q41770989,P569,1963-10-09T00:00:00+00:00
ours,Q41770991,P569,1970-12-14T00:00:00+00:00
ours,Q41770992,P569,1959-06-06T00:00:00+00:00
ours,Q41770994,P569,1955-03-09T00:00:00+00:00
ours,Q41770995,P569,1947-01-02T00:00:00+00:00
ours,Q41770996,P569,1967-10-14T00:00:00+00:00
ours,Q41770998,P569,1950-01-03T00:00:00+00:00
ours,Q41770999,P569,1951-11-04T00:00:00+00:00
ours,Q41771001,P569,1959-11-19T00:00:00+00:00
ours,Q41771003,P569,1988-01-23T00:00:00+00:00
ours,Q41771004,P569,1984-01-09T00:00:00+00:00
ours,Q41771005,P569,1980-09-01T00:00:00+00:00
ours,Q41771007,P569,1969-10-09T00:00:00+00:00
ours,Q41771008,P569,1952-11-22T00:00:00+00:00
ours,Q41771009,P569,1951-09-25T00:00:00+00:00
ours,Q41771010,P569,1972-04-13T00:00:00+00:00
ours,Q41771012,P569,1955-07-28T00:00:00+00:00
ours,Q41771013,P569,1956-07-16T00:00:00+00:00
ours,Q41771014,P569,1979-11-24T00:00:00+00:00
ours,Q41771016,P569,1955-07-29T00:00:00+00:00
ours,Q41771018,P569,1967-04-18T00:00:00+00:00
ours,Q41771019,P569,1974-06-27T00:00:00+00:00
ours,Q41771020,P569,1978-05-06T00:00:00+00:00
ours,Q41771021,P569,1950-11-27T00:00:00+00:00
ours,Q41771024,P569,1974-06-16T00:00:00+00:00
ours,Q41771025,P569,1955-07-17T00:00:00+00:00
ours,Q41771026,P569,1957-03-09T00:00:00+00:00
ours,Q41771028,P569,1964-03-15T00:00:00+00:00
ours,Q41771029,P569,1949-09-05T00:00:00+00:00
ours,Q41771031,P569,1949-07-09T00:00:00+00:00
ours,Q41771033,P569,1962-12-02T00:00:00+00:00
ours,Q41771035,P569,1952-10-20T00:00:00+00:00
ours,Q41771036,P569,1959-03-31T00:00:00+00:00
ours,Q41771037,P569,1978-09-22T00:00:00+00:00
ours,Q41771038,P569,1948-11-04T00:00:00+00:00
ours,Q41771040,P569,1990-06-29T00:00:00+00:00
ours,Q41771042,P569,1956-03-30T00:00:00+00:00
ours,Q41771044,P569,1967-03-08T00:00:00+00:00
ours,Q41771045,P569,1949-06-30T00:00:00+00:00
ours,Q41771046,P569,1948-06-08T00:00:00+00:00
ours,Q41771047,P569,1959-11-21T00:00:00+00:00
ours,Q41771049,P569,1948-12-29T00:00:00+00:00
ours,Q41771051,P569,1960-03-13T00:00:00+00:00
ours,Q41771052,P569,1943-01-21T00:00:00+00:00
ours,Q41771054,P569,1991-09-19T00:00:00+00:00
ours,Q41771055,P569,1951-04-15T00:00:00+00:00
ours,Q41771057,P569,1958-01-29T00:00:00+00:00
ours,Q41771058,P569,1964-05-07T00:00:00+00:00
ours,Q41771060,P569,1979-05-02T00:00:00+00:00
ours,Q41771061,P569,1968-08-07T00:00:00+00:00
ours,Q41771063,P569,1955-05-18T00:00:00+00:00
ours,Q41777897,P569,1957-09-16T00:00:00+00:00
ours,Q41777898,P569,1963-01-28T00:00:00+00:00
ours,Q41777900,P569,1963-05-10T00:00:00+00:00
ours,Q41777902,P569,1965-07-29T00:00:00+00:00
ours,Q41777904,P569,1984-04-10T00:00:00+00:00
ours,Q41777907,P569,1961-10-31T00:00:00+00:00
ours,Q41777909,P569,1969-05-15T00:00:00+00:00
ours,Q41777910,P569,1966-11-13T00:00:00+00:00
ours,Q41777912,P569,1964-07-17T00:00:00+00:00
ours,Q41777915,P569,1950-12-15T00:00:00+00:00
ours,Q41777916,P569,1974-05-14T00:00:00+00:00
ours,Q41777917,P569,1970-11-14T00:00:00+00:00
ours,Q41777921,P569,1962-12-17T00:00:00+00:00
ours,Q41777923,P569,1988-03-25T00:00:00+00:00
ours,Q41777925,P569,1974-02-01T00:00:00+00:00
ours,Q41777927,P569,1977-06-26T00:00:00+00:00
ours,Q41777929,P569,1954-04-02T00:00:00+00:00
ours,Q41777931,P569,1963-07-19T00:00:00+00:00
ours,Q41777933,P569,1961-08-28T00:00:00+00:00
ours,Q41777936,P569,1977-03-15T00:00:00+00:00
ours,Q41777938,P569,1965-11-25T00:00:00+00:00
ours,Q41777939,P569,1976-04-13T00:00:00+00:00
ours,Q41777940,P569,1965-09-18T00:00:00+00:00
ours,Q41777943,P569,1964-03-26T00:00:00+00:00
ours,Q41777945,P569,1983-08-02T00:00:00+00:00
ours,Q41777947,P569,1958-06-18T00:00:00+00:00
ours,Q41777949,P569,1959-02-23T00:00:00+00:00
ours,Q41777950,P569,1978-12-31T00:00:00+00:00
ours,Q41777952,P569,1970-05-03T00:00:00+00:00
ours,Q41777954,P569,1965-10-21T00:00:00+00:00
ours,Q41777956,P569,1956-11-28T00:00:00+00:00
ours,Q41777958,P569,1965-01-27T00:00:00+00:00
ours,Q41777959,P569,1971-06-13T00:00:00+00:00
ours,Q41777960,P569,1980-03-28T00:00:00+00:00
ours,Q41777962,P569,1972-07-21T00:00:00+00:00
ours,Q41777964,P569,1974-09-16T00:00:00+00:00
ours,Q41777966,P569,1968-07-18T00:00:00+00:00
ours,Q41777967,P569,1968-01-24T00:00:00+00:00
ours,Q41777968,P569,1949-07-18T00:00:00+00:00
ours,Q41777969,P569,1947-11-27T00:00:00+00:00
ours,Q41777971,P569,1981-11-17T00:00:00+00:00
ours,Q41794089,P569,1965-12-11T00:00:00+00:00
ours,Q41794090,P569,1956-11-24T00:00:00+00:00
ours,Q41794091,P569,1967-10-12T00:00:00+00:00
ours,Q41794094,P569,1970-05-03T00:00:00+00:00
ours,Q41794095,P569,1953-02-11T00:00:00+00:00
ours,Q41794096,P569,1978-05-28T00:00:00+00:00
ours,Q41794100,P569,1973-01-26T00:00:00+00:00
ours,Q41794101,P569,1973-12-26T00:00:00+00:00
ours,Q41805146,P569,1950-04-01T00:00:00+00:00
ours,Q41805147,P569,1984-08-01T00:00:00+00:00
ours,Q41805148,P569,1951-09-10T00:00:00+00:00
ours,Q41805154,P569,1960-10-23T00:00:00+00:00
ours,Q41805155,P569,1946-09-18T00:00:00+00:00
ours,Q41805156,P569,1967-03-27T00:00:00+00:00
ours,Q41805157,P569,1973-04-09T00:00:00+00:00
ours,Q41805158,P569,1975-11-13T00:00:00+00:00
ours,Q41805159,P569,1961-11-24T00:00:00+00:00
ours,Q41805160,P569,1987-03-02T00:00:00+00:00
ours,Q41805161,P569,1982-09-24T00:00:00+00:00
ours,Q41805162,P569,1975-06-07T00:00:00+00:00
ours,Q41805163,P569,1949-10-04T00:00:00+00:00
ours,Q41805164,P569,1961-01-09T00:00:00+00:00
ours,Q41805165,P569,1958-04-30T00:00:00+00:00
ours,Q41805166,P569,1951-02-18T00:00:00+00:00
ours,Q41805168,P569,1953-03-20T00:00:00+00:00
ours,Q41805169,P569,1969-05-12T00:00:00+00:00
ours,Q41805170,P569,1974-07-04T00:00:00+00:00
ours,Q41805171,P569,1965-02-21T00:00:00+00:00
ours,Q41805172,P569,1962-11-02T00:00:00+00:00
ours,Q41805173,P569,1974-06-14T00:00:00+00:00
ours,Q41805174,P569,1974-04-29T00:00:00+00:00
ours,Q41805175,P569,1991-03-15T00:00:00+00:00
ours,Q41805176,P569,1955-11-14T00:00:00+00:00
ours,Q41805177,P569,1959-01-09T00:00:00+00:00
ours,Q41805178,P569,1983-01-22T00:00:00+00:00
ours,Q41805179,P569,1960-02-16T00:00:00+00:00
ours,Q41805180,P569,1953-10-28T00:00:00+00:00
ours,Q41805181,P569,1977-10-28T00:00:00+00:00
ours,Q41805182,P569,1973-05-06T00:00:00+00:00
ours,Q41805183,P569,1950-04-25T00:00:00+00:00
ours,Q41805184,P569,1950-10-05T00:00:00+00:00
ours,Q41805186,P569,1957-09-09T00:00:00+00:00
ours,Q41805187,P569,1966-08-12T00:00:00+00:00
ours,Q41805188,P569,1973-08-02T00:00:00+00:00
ours,Q41805189,P569,1957-01-30T00:00:00+00:00
ours,Q41805191,P569,1959-04-01T00:00:00+00:00
ours,Q41805192,P569,1967-03-12T00:00:00+00:00
ours,Q41805193,P569,1954-07-20T00:00:00+00:00
ours,Q41805194,P569,1940-11-02T00:00:00+00:00
ours,Q41805195,P569,1965-05-07T00:00:00+00:00
ours,Q41805196,P569,1963-12-01T00:00:00+00:00
ours,Q41805197,P569,1955-04-28T00:00:00+00:00
ours,Q41805198,P569,1978-01-04T00:00:00+00:00
ours,Q41805199,P569,1963-05-22T00:00:00+00:00
ours,Q41805200,P569,1976-06-18T00:00:00+00:00
ours,Q41805201,P569,1983-07-25T00:00:00+00:00
ours,Q41805202,P569,1990-05-27T00:00:00+00:00
ours,Q41805203,P569,1988-07-28T00:00:00+00:00
ours,Q41805204,P569,1955-07-16T00:00:00+00:00
ours,Q41805205,P569,1965-05-18T00:00:00+00:00
ours,Q41805206,P569,1983-09-16T00:00:00+00:00
ours,Q41805207,P569,1963-02-27T00:00:00+00:00
ours,Q41805208,P569,1971-03-29T00:00:00+00:00
ours,Q41805209,P569,1968-01-30T00:00:00+00:00
ours,Q41805210,P569,1975-05-04T00:00:00+00:00
ours,Q41805211,P569,1957-08-10T00:00:00+00:00
ours,Q41805213,P569,1955-06-02T00:00:00+00:00
ours,Q41805214,P569,1956-07-14T00:00:00+00:00
ours,Q41805215,P569,1953-10-11T00:00:00+00:00
ours,Q41805216,P569,1952-02-14T00:00:00+00:00
ours,Q41805217,P569,1963-07-06T00:00:00+00:00
ours,Q41805218,P569,1950-09-21T00:00:00+00:00
ours,Q41805219,P569,1959-12-02T00:00:00+00:00
ours,Q41805220,P569,1943-07-09T00:00:00+00:00
ours,Q41805221,P569,1959-10-28T00:00:00+00:00
ours,Q41805222,P569,1978-06-10T00:00:00+00:00
ours,Q41805223,P569,1954-10-18T00:00:00+00:00
ours,Q41805224,P569,1968-08-03T00:00:00+00:00
ours,Q41805225,P569,1966-04-14T00:00:00+00:00
ours,Q41805226,P569,1964-02-29T00:00:00+00:00
ours,Q41805227,P569,1972-04-05T00:00:00+00:00
ours,Q41805228,P569,1973-06-11T00:00:00+00:00
ours,Q41805229,P569,1982-12-17T00:00:00+00:00
ours,Q41805230,P569,1976-10-09T00:00:00+00:00
ours,Q41805231,P569,1950-09-09T00:00:00+00:00
ours,Q41805232,P569,1951-03-27T00:00:00+00:00
ours,Q41805233,P569,1954-09-01T00:00:00+00:00
ours,Q41805234,P569,1965-07-03T00:00:00+00:00
ours,Q41805236,P569,1970-03-23T00:00:00+00:00
ours,Q41805237,P569,1955-03-28T00:00:00+00:00
ours,Q41805238,P569,1970-09-15T00:00:00+00:00
ours,Q41805239,P569,1965-03-16T00:00:00+00:00
ours,Q41805240,P569,1978-09-29T00:00:00+00:00
ours,Q41805241,P569,1986-08-27T00:00:00+00:00
ours,Q41805242,P569,1972-11-30T00:00:00+00:00
ours,Q41805243,P569,1958-06-25T00:00:00+00:00
ours,Q41805244,P569,1952-06-21T00:00:00+00:00
ours,Q41805245,P569,1949-08-23T00:00:00+00:00
ours,Q41805246,P569,1982-09-28T00:00:00+00:00
ours,Q41805247,P569,1970-04-06T00:00:00+00:00
ours,Q41805248,P569,1981-02-21T00:00:00+00:00
ours,Q41805249,P569,1960-07-24T00:00:00+00:00
ours,Q41805250,P569,1985-01-14T00:00:00+00:00
ours,Q41805251,P569,1963-05-28T00:00:00+00:00
ours,Q41805252,P569,1980-07-26T00:00:00+00:00
ours,Q41805253,P569,1956-02-11T00:00:00+00:00
ours,Q41805255,P569,1959-04-12T00:00:00+00:00
ours,Q41805256,P569,1957-07-12T00:00:00+00:00
ours,Q41805257,P569,1973-10-20T00:00:00+00:00
ours,Q41805258,P569,1979-07-26T00:00:00+00:00
ours,Q41805260,P569,1962-02-27T00:00:00+00:00
ours,Q41805261,P569,1958-06-04T00:00:00+00:00
ours,Q41805262,P569,1955-02-09T00:00:00+00:00
ours,Q41805263,P569,1956-06-30T00:00:00+00:00
ours,Q41805264,P569,1954-09-09T00:00:00+00:00
ours,Q41805265,P569,1945-02-06T00:00:00+00:00
ours,Q41805266,P569,1982-06-17T00:00:00+00:00
ours,Q41805267,P569,1949-10-01T00:00:00+00:00
ours,Q41805268,P569,1983-07-30T00:00:00+00:00
ours,Q41805269,P569,1962-09-24T00:00:00+00:00
ours,Q41805270,P569,1966-07-24T00:00:00+00:00
ours,Q41805271,P569,1974-04-09T00:00:00+00:00
ours,Q41805272,P569,1970-10-01T00:00:00+00:00
ours,Q41805273,P569,1974-06-16T00:00:00+00:00
ours,Q41805274,P569,1979-09-21T00:00:00+00:00
ours,Q41805275,P569,1962-04-25T00:00:00+00:00
ours,Q41805276,P569,1979-11-11T00:00:00+00:00
ours,Q41805277,P569,1964-08-12T00:00:00+00:00
ours,Q41805278,P569,1973-01-23T00:00:00+00:00
ours,Q41805279,P569,1969-07-11T00:00:00+00:00
ours,Q41805280,P569,1969-09-07T00:00:00+00:00
ours,Q41805281,P569,1959-01-23T00:00:00+00:00
ours,Q41805282,P569,1957-10-01T00:00:00+00:00
ours,Q41805284,P569,1948-01-22T00:00:00+00:00
ours,Q41805285,P569,1988-11-17T00:00:00+00:00
ours,Q41805286,P569,1990-01-18T00:00:00+00:00
ours,Q41805287,P569,1969-11-10T00:00:00+00:00
ours,Q41805288,P569,1958-04-23T00:00:00+00:00
ours,Q41805289,P569,1985-04-03T00:00:00+00:00
ours,Q41805290,P569,1946-06-12T00:00:00+00:00
ours,Q41805291,P569,1954-05-09T00:00:00+00:00
ours,Q41805292,P569,1971-08-02T00:00:00+00:00
ours,Q41805293,P569,1940-09-13T00:00:00+00:00
ours,Q41805294,P569,1961-10-07T00:00:00+00:00
ours,Q41805295,P569,1987-12-23T00:00:00+00:00
ours,Q41805296,P569,1947-01-01T00:00:00+00:00
ours,Q41805297,P569,1963-08-28T00:00:00+00:00
ours,Q41805298,P569,1960-02-13T00:00:00+00:00
ours,Q41805299,P569,1964-03-14T00:00:00+00:00
ours,Q41805300,P569,1980-02-15T00:00:00+00:00
ours,Q41805301,P569,1971-05-11T00:00:00+00:00
ours,Q41805302,P569,1977-09-29T00:00:00+00:00
ours,Q41805303,P569,1978-09-06T00:00:00+00:00
ours,Q41805304,P569,1943-09-24T00:00:00+00:00
ours,Q41805305,P569,1990-06-04T00:00:00+00:00
ours,Q41805307,P569,1959-11-17T00:00:00+00:00
ours,Q41805308,P569,1970-09-12T00:00:00+00:00
ours,Q41805309,P569,1961-09-11T00:00:00+00:00
ours,Q41805310,P569,1979-02-20T00:00:00+00:00
ours,Q41805311,P569,1962-09-06T00:00:00+00:00
ours,Q41805312,P569,1955-09-30T00:00:00+00:00
ours,Q41805313,P569,1977-08-05T00:00:00+00:00
ours,Q41805314,P569,1962-08-27T00:00:00+00:00
ours,Q41805315,P569,1981-11-17T00:00:00+00:00
