db,person,area,party,votes
codefor,Q1039717,Q7813806,Q354239,1307
codefor,Q10856313,Q11586035,Q41040535,61541
codefor,Q1131407,Q9499044,Q232595,108747
codefor,Q1132836,Q11406378,Q232595,120075
codefor,Q1133136,Q11393144,Q232595,94205
codefor,Q1133192,Q11476527,Q232595,95513
codefor,Q1133194,Q11406377,Q232595,103919
codefor,Q1133360,Q11535301,Q232595,111167
codefor,Q1133880,Q7960863,Q232595,109488
codefor,Q11353993,Q11426791,Q232595,98443
codefor,Q11355593,Q11393157,Q21499745,41331
codefor,Q11355765,Q11589213,Q41040535,66057
codefor,Q1135729,Q11663243,Q41040535,137523
codefor,Q11357294,Q11589223,Q232595,74119
codefor,Q11359720,Q11589222,Q1061354,82788
codefor,Q11361823,Q5618873,Q41040535,36167
codefor,Q11364144,Q11589225,Q232595,70819
codefor,Q11364418,Q4356088,Q327591,107007
codefor,Q11365989,Q11403007,Q232595,104054
codefor,Q11367646,Q11393159,Q1061354,94116
codefor,Q11368259,Q7105540,Q21499745,66712
codefor,Q11368828,Q11589211,Q41040535,38162
codefor,Q11373203,Q11441208,Q21499745,66506
codefor,Q11373245,Q11592614,Q232595,97777
codefor,Q11373350,Q11654365,Q41040535,127542
codefor,Q11373460,Q11393146,Q41040535,59191
codefor,Q11373555,Q10343531,Q41532587,53480
codefor,Q11373633,Q11663238,Q232595,130857
codefor,Q11373778,Q11609702,Q232595,89219
codefor,Q11376392,Q7813763,Q41040535,69442
codefor,Q11376723,Q11471576,Q41040535,92370
codefor,Q11377131,Q11484887,Q21499745,23779
codefor,Q11377132,Q11494339,Q232595,96303
codefor,Q11377294,Q11403009,Q232595,113851
codefor,Q11378895,Q11441220,Q1061354,104052
codefor,Q11379447,Q11441202,Q21499745,61859
codefor,Q11379575,Q11403010,Q232595,95200
codefor,Q11382420,Q11525655,Q41040535,29743
codefor,Q11391317,Q11494338,Q232595,96978
codefor,Q11395120,Q11595528,Q232595,79442
codefor,Q11396609,Q11525653,Q41532587,71405
codefor,Q11397382,Q9498966,Q232595,101243
codefor,Q11399159,Q6958601,Q232595,97874
codefor,Q11400147,Q11663244,Q232595,108157
codefor,Q11400194,Q11589215,Q41040535,46284
codefor,Q11400372,Q11453780,Q232595,50496
codefor,Q11409844,Q11441223,Q232595,93475
codefor,Q11411691,Q11592618,Q232595,136499
codefor,Q11412937,Q11432908,Q835109,70858
codefor,Q11413102,Q11663243,Q232595,92467
codefor,Q11414054,Q11494342,Q41532587,57780
codefor,Q11422694,Q11552835,Q232595,54468
codefor,Q11422753,Q17221683,Q1061354,91514
codefor,Q11423241,Q11426789,Q232595,104500
codefor,Q11425971,Q11592612,Q41040535,80073
codefor,Q11425985,Q11663245,Q232595,129463
codefor,Q11427301,Q11469742,Q327591,67434
codefor,Q11428744,Q11484887,Q327591,61976
codefor,Q11431868,Q11393156,Q232595,93622
codefor,Q11434738,Q7496287,Q232595,84994
codefor,Q11435293,Q7034372,Q327591,79655
codefor,Q11437735,Q5983712,Q41040535,29547
codefor,Q11438832,Q11494340,Q41040535,116471
codefor,Q11438916,Q11525653,Q232595,84457
codefor,Q11438945,Q11494340,Q232595,109581
codefor,Q11439189,Q11535303,Q41040535,41438
codefor,Q11439619,Q11667408,Q232595,82125
codefor,Q11446165,Q11406390,Q41040535,76332
codefor,Q11450236,Q11494336,Q41040535,66560
codefor,Q11451405,Q11375292,Q232595,101977
codefor,Q11453336,Q11592620,Q232595,104726
codefor,Q11454107,Q11652769,Q41040535,61137
codefor,Q11454258,Q5618871,Q41040535,71569
codefor,Q11454333,Q11552836,Q232595,64193
codefor,Q11455005,Q11663241,Q232595,97923
codefor,Q11457846,Q11654368,Q41040535,40863
codefor,Q11458942,Q11525659,Q232595,110522
codefor,Q11459848,Q11663241,Q327591,81568
codefor,Q11460163,Q11484890,Q232595,69209
codefor,Q11461246,Q11654363,Q232595,85460
codefor,Q11461458,Q5771187,Q232595,110547
codefor,Q11461866,Q11445240,Q232595,90558
codefor,Q11461955,Q11406381,Q232595,108964
codefor,Q11462267,Q11663236,Q41040535,56086
codefor,Q11462582,Q11426787,Q327591,88290
codefor,Q11462766,Q11593331,Q41040535,67073
codefor,Q11462993,Q11525658,Q232595,88225
codefor,Q11463967,Q11426805,Q41040535,61501
codefor,Q11465449,Q5618871,Q232595,92641
codefor,Q11466071,Q11472351,Q232595,73150
codefor,Q11466235,Q11676837,Q21499745,26895
codefor,Q11466249,Q11375292,Q41040535,100338
codefor,Q11466402,Q11592618,Q41532587,94772
codefor,Q11467778,Q11494352,Q327591,128163
codefor,Q11467842,Q9499044,Q41040535,88320
codefor,Q11468895,Q11592614,Q41532587,51063
codefor,Q11469130,Q11589219,Q232595,55700
codefor,Q11470238,Q11406386,Q41532587,62894
codefor,Q11470608,Q7813806,Q232595,93234
codefor,Q11470671,Q11393157,Q232595,95558
codefor,Q11470885,Q10343462,Q41532587,91073
codefor,Q11472782,Q11406383,Q41532587,52018
codefor,Q11475456,Q7398896,Q232595,78972
codefor,Q11475894,Q11417481,Q41040535,72517
codefor,Q11477350,Q11375290,Q41040535,36134
codefor,Q11479573,Q11494348,Q232595,76446
codefor,Q11488572,Q11589210,Q41040535,96128
codefor,Q11496954,Q11102988,Q41532587,99182
codefor,Q11500159,Q11591499,Q41040535,55537
codefor,Q11513088,Q11589207,Q232595,83924
codefor,Q11515287,Q11654371,Q327591,48588
codefor,Q11518048,Q11441222,Q21499745,57187
codefor,Q11518159,Q11654365,Q232595,74722
codefor,Q11518163,Q7813822,Q41040535,41175
codefor,Q11518220,Q11568324,Q232595,123431
codefor,Q11518222,Q11525656,Q232595,107686
codefor,Q11519999,Q11403007,Q41532587,90619
codefor,Q11520430,Q11589209,Q41040535,94348
codefor,Q11522062,Q11494336,Q21499745,44258
codefor,Q11522739,Q11441220,Q41532587,66536
codefor,Q11523004,Q11426793,Q232595,106699
codefor,Q11523193,Q11595531,Q41040535,93746
codefor,Q11533657,Q11535297,Q41040535,51122
codefor,Q11534806,Q11456548,Q41040535,62066
codefor,Q11535033,Q11525652,Q41040535,70325
codefor,Q11536382,Q11494341,Q232595,95568
codefor,Q11537927,Q11493674,Q41040535,56781
codefor,Q11538822,Q11393154,Q41040535,69369
codefor,Q11539493,Q11441207,Q41532587,65780
codefor,Q11539787,Q4696552,Q41040535,75069
codefor,Q11542202,Q11406378,Q41040535,36571
codefor,Q11543692,Q11472354,Q41040535,26901
codefor,Q11544282,Q11456548,Q232595,140803
codefor,Q11544691,Q11406383,Q41040535,22962
codefor,Q11545768,Q11454477,Q232595,94780
codefor,Q11546026,Q11564692,Q232595,78724
codefor,Q11546586,Q11403001,Q232595,97113
codefor,Q11547421,Q11552837,Q232595,66527
codefor,Q11549401,Q11406379,Q41040535,31887
codefor,Q11551703,Q11494346,Q232595,76220
codefor,Q11553342,Q11484887,Q232595,82998
codefor,Q11554229,Q11592620,Q21499745,51426
codefor,Q1155448,Q11441202,Q327591,76144
codefor,Q11555503,Q11406389,Q41040535,29706
codefor,Q11556075,Q4778663,Q232595,103177
codefor,Q11558377,Q11441205,Q21499745,74368
codefor,Q11560960,Q11441214,Q641600,36825
codefor,Q11561908,Q7105541,Q232595,82337
codefor,Q11562133,Q11406387,Q232595,76323
codefor,Q11563479,Q11674598,Q41040535,53312
codefor,Q11566681,Q11667406,Q232595,59949
codefor,Q11568677,Q11494342,Q232595,74298
codefor,Q11570409,Q11589212,Q232595,117003
codefor,Q11572466,Q11552837,Q327591,95517
codefor,Q11572647,Q11667406,Q41040535,82345
codefor,Q11574554,Q11406387,Q41532587,65281
codefor,Q11576787,Q11617501,Q232595,100875
codefor,Q11577021,Q11525653,Q41040535,50568
codefor,Q11577186,Q11494344,Q232595,71600
codefor,Q11577205,Q11456543,Q232595,74876
codefor,Q11577481,Q11445241,Q232595,122341
codefor,Q11578483,Q11474791,Q41040535,98842
codefor,Q11578505,Q6360240,Q641600,49305
codefor,Q11578596,Q11393157,Q41040535,41219
codefor,Q11580199,Q11493673,Q41040535,70978
codefor,Q11580448,Q11406379,Q232595,93081
codefor,Q11583883,Q11568330,Q41532587,89279
codefor,Q11585604,Q11503150,Q232595,113045
codefor,Q11585840,Q11617507,Q232595,61450
codefor,Q11586782,Q11617503,Q41040535,57098
codefor,Q11589528,Q11426803,Q232595,90841
codefor,Q11589542,Q11589212,Q41040535,83407
codefor,Q11590601,Q4696554,Q232595,72651
codefor,Q11593023,Q11617501,Q41040535,82835
codefor,Q11596567,Q11592616,Q41040535,100938
codefor,Q11596723,Q11402999,Q1061354,96795
codefor,Q11597257,Q11432906,Q232595,90422
codefor,Q11597430,Q11484889,Q21499745,28562
codefor,Q11602573,Q11609704,Q232595,83446
codefor,Q11603860,Q56855,Q232595,74371
codefor,Q11606064,Q11503151,Q232595,81705
codefor,Q11609955,Q11589210,Q232595,110508
codefor,Q1161024,Q11589211,Q232595,159647
codefor,Q11614128,Q5878053,Q232595,120987
codefor,Q11616618,Q7813802,Q41040535,57901
codefor,Q11619136,Q11102990,Q232595,122279
codefor,Q11619261,Q11593331,Q232595,68282
codefor,Q11620603,Q11484889,Q327591,7210
codefor,Q11622647,Q11592624,Q232595,91477
codefor,Q11622818,Q11393152,Q232595,120189
codefor,Q11623218,Q11474793,Q232595,96571
codefor,Q11624750,Q11357847,Q41040535,68978
codefor,Q11627955,Q11493670,Q21499745,33894
codefor,Q11629761,Q11441203,Q327591,23584
codefor,Q11629931,Q11552839,Q232595,82199
codefor,Q11633044,Q11406376,Q41040535,65256
codefor,Q11634137,Q11426798,Q327591,21614
codefor,Q11637002,Q11441223,Q21499745,91438
codefor,Q11638274,Q7813811,Q232595,112993
codefor,Q11638747,Q11586036,Q41040535,78306
codefor,Q11642258,Q11441209,Q21499745,87070
codefor,Q11644760,Q11494337,Q327591,149587
codefor,Q11644934,Q4696554,Q41040535,32179
codefor,Q11645002,Q11426788,Q232595,86499
codefor,Q11646016,Q11568327,Q232595,86027
codefor,Q11646177,Q6346640,Q41040535,90240
codefor,Q11646784,Q11503156,Q232595,87524
codefor,Q11647123,Q11441212,Q21499745,68844
codefor,Q11647681,Q11595529,Q232595,74835
codefor,Q11648868,Q11468571,Q232595,109949
codefor,Q11649031,Q11494352,Q232595,127329
codefor,Q11649189,Q11426791,Q41040535,62733
codefor,Q11651021,Q11453776,Q327591,110243
codefor,Q11651619,Q11494354,Q232595,104419
codefor,Q11651845,Q11441204,Q232595,79352
codefor,Q11652221,Q6360246,Q41040535,34433
codefor,Q11653978,Q11406380,Q21499745,15014
codefor,Q11654965,Q11417481,Q232595,57111
codefor,Q11656652,Q11471575,Q41040535,68404
codefor,Q11657599,Q11471577,Q41040535,57982
codefor,Q11657813,Q11468573,Q41040535,81708
codefor,Q11661236,Q11494337,Q232595,104811
codefor,Q11661965,Q11589222,Q41532587,86291
codefor,Q11667848,Q11441206,Q21499745,65427
codefor,Q11668691,Q11472349,Q41532587,56757
codefor,Q11670038,Q11403004,Q232595,118961
codefor,Q11671375,Q49876,Q232595,57381
codefor,Q11671542,Q11403007,Q41040535,31941
codefor,Q11673487,Q11592616,Q232595,109098
codefor,Q11677736,Q7402528,Q232595,95093
codefor,Q11678114,Q11503154,Q327591,95644
codefor,Q11679075,Q11406389,Q232595,115731
codefor,Q1207174,Q11617503,Q232595,104183
codefor,Q122465,Q6360252,Q232595,123218
codefor,Q1315762,Q10959517,Q232595,109381
codefor,Q132280,Q6452102,Q327591,65480
codefor,Q132345,Q11467112,Q232595,104825
codefor,Q132596,Q5507680,Q232595,135334
codefor,Q1335527,Q7828499,Q232595,106425
codefor,Q1336805,Q10343508,Q41040535,94380
codefor,Q1340817,Q11471573,Q232595,117278
codefor,Q1478311,Q11403004,Q41532587,141680
codefor,Q15220933,Q11484889,Q232595,64911
codefor,Q152728,Q7496287,Q327591,79724
codefor,Q1620229,Q7034372,Q232595,91855
codefor,Q16263623,Q11406390,Q232595,92180
codefor,Q1654408,Q11591498,Q232595,116969
codefor,Q1654639,Q11432909,Q232595,99412
codefor,Q1655220,Q11102981,Q232595,104612
codefor,Q1655453,Q11535303,Q232595,89403
codefor,Q1655755,Q11403000,Q232595,82096
codefor,Q1656878,Q11357843,Q232595,109584
codefor,Q1656896,Q11456545,Q232595,94086
codefor,Q16769971,Q11406380,Q232595,82838
codefor,Q16770033,Q11676838,Q232595,97743
codefor,Q1689655,Q11357845,Q232595,104780
codefor,Q1704924,Q11593328,Q232595,96892
codefor,Q1704969,Q11471577,Q232595,92113
codefor,Q1705028,Q6965225,Q232595,124508
codefor,Q17158474,Q11426787,Q327591,50046
codefor,Q17158549,Q11503154,Q232595,95594
codefor,Q17158714,Q11426786,Q41040535,66106
codefor,Q17158871,Q6080258,Q232595,118421
codefor,Q17159494,Q6843509,Q232595,63406
codefor,Q17160872,Q11375291,Q232595,83286
codefor,Q17219387,Q11592623,Q232595,131244
codefor,Q17223599,Q11357843,Q327591,94045
codefor,Q1724004,Q11552836,Q835109,92143
codefor,Q1737907,Q11589219,Q327591,51495
codefor,Q1761759,Q11552835,Q21499745,34215
codefor,Q18458881,Q11663246,Q41040535,78524
codefor,Q18669603,Q11525648,Q641600,83544
codefor,Q18700742,Q11426792,Q641600,39497
codefor,Q18700919,Q7813818,Q41532587,100400
codefor,Q18701018,Q11468573,Q232595,103973
codefor,Q18817567,Q11406379,Q641600,20679
codefor,Q18817798,Q11592612,Q641600,30792
codefor,Q18817877,Q11552839,Q327591,75887
codefor,Q18818101,Q11393159,Q641600,53964
codefor,Q18818124,Q11592625,Q641600,29635
codefor,Q18818128,Q4778663,Q41040535,64173
codefor,Q18818200,Q11525656,Q641600,57741
codefor,Q18818207,Q11441203,Q232595,74662
codefor,Q18818315,Q11493670,Q41040535,21044
codefor,Q1906668,Q11357845,Q327591,122518
codefor,Q1949760,Q11494344,Q41040535,99520
codefor,Q1965622,Q11406386,Q232595,107299
codefor,Q1995125,Q11467109,Q232595,113012
codefor,Q20039047,Q7105539,Q232595,56483
codefor,Q20039110,Q11441208,Q232595,67748
codefor,Q20039172,Q11441206,Q232595,58534
codefor,Q20039502,Q11441209,Q232595,80198
codefor,Q20039675,Q6452106,Q232595,56534
codefor,Q20040516,Q6360246,Q41532587,78019
codefor,Q20040828,Q7813802,Q232595,91146
codefor,Q20041303,Q7105540,Q232595,57833
codefor,Q212400,Q11453780,Q327591,89423
codefor,Q21655857,Q11456543,Q21499745,38219
codefor,Q21701087,Q6452111,Q327591,30665
codefor,Q23907516,Q5878048,Q232595,142687
codefor,Q2394829,Q7813811,Q41040535,41955
codefor,Q2484652,Q11476528,Q232595,123332
codefor,Q2506910,Q5618873,Q232595,93262
codefor,Q2576940,Q11384769,Q232595,99103
codefor,Q2576975,Q11525655,Q41532587,90540
codefor,Q263777,Q10343578,Q41532587,117118
codefor,Q265174,Q376715,Q232595,71614
codefor,Q276275,Q11663236,Q232595,96500
codefor,Q3136350,Q11586035,Q232595,112168
codefor,Q337406,Q11525648,Q1061354,112597
codefor,Q337762,Q11676841,Q232595,128112
codefor,Q3435725,Q11535300,Q327591,75031
codefor,Q3482658,Q11474791,Q232595,129884
codefor,Q3547232,Q11432909,Q41532587,84133
codefor,Q359480,Q11484884,Q232595,113239
codefor,Q360395,Q11493668,Q232595,112930
codefor,Q369170,Q7813818,Q41040535,42862
codefor,Q370385,Q11494342,Q41040535,48633
codefor,Q382311,Q11467111,Q232595,103173
codefor,Q388496,Q11445240,Q41040535,88082
codefor,Q405527,Q11432908,Q232595,89944
codefor,Q405533,Q7105539,Q41532587,75788
codefor,Q41618899,Q11402999,Q41532587,96282
codefor,Q41693423,Q6452111,Q41040535,19586
codefor,Q41693816,Q11525651,Q41040535,63235
codefor,Q41693822,Q10343531,Q41040535,35352
codefor,Q41698739,Q11589207,Q41040535,29852
codefor,Q41767957,Q6452106,Q641600,26420
codefor,Q41768312,Q6452106,Q21499745,16511
codefor,Q41768409,Q11375291,Q641600,38219
codefor,Q41768435,Q11375291,Q354239,3606
codefor,Q41768440,Q11403000,Q41532587,98214
codefor,Q41768440,Q5878130,Q41532587,
codefor,Q41769795,Q7813802,Q41532587,70168
codefor,Q41769890,Q7813802,Q641600,20828
codefor,Q41769891,Q7813802,Q354239,1744
codefor,Q41769946,Q11102981,Q641600,25426
codefor,Q41769947,Q11102981,Q41532587,60291
codefor,Q41769948,Q11525650,Q641600,30807
codefor,Q41769950,Q11525650,Q41532587,67070
codefor,Q41769951,Q11525651,Q641600,46600
codefor,Q41769952,Q11525651,Q354239,4282
codefor,Q41769955,Q11525652,Q641600,34943
codefor,Q41770033,Q11525652,Q327591,15667
codefor,Q41770036,Q11525654,Q641600,43138
codefor,Q41770041,Q11525655,Q641600,17377
codefor,Q41770043,Q7813806,Q354239,3806
codefor,Q41770226,Q10343462,Q641600,22859
codefor,Q41770228,Q11525656,Q41040535,50439
codefor,Q41770229,Q11525659,Q641600,58929
codefor,Q41770230,Q11525659,Q41040535,76450
codefor,Q41770231,Q11525660,Q641600,24349
codefor,Q41770233,Q11525660,Q41532587,61441
codefor,Q41770235,Q10971927,Q641600,21031
codefor,Q41770236,Q10971927,Q41532587,44884
codefor,Q41770239,Q7813811,Q41532587,91230
codefor,Q41770450,Q10343508,Q641600,45088
codefor,Q41770452,Q10343531,Q641600,26037
codefor,Q41770457,Q7813818,Q354239,4307
codefor,Q41770460,Q7813822,Q641600,22399
codefor,Q41770463,Q7813822,Q41532587,76283
codefor,Q41770465,Q11102990,Q641600,57439
codefor,Q41770566,Q11403001,Q641600,23830
codefor,Q41770567,Q11403001,Q41040535,58422
codefor,Q41770570,Q5878053,Q41532587,139110
codefor,Q41770571,Q9498886,Q641600,52626
codefor,Q41770572,Q9498886,Q21499745,21643
codefor,Q41770577,Q5878048,Q354239,7632
codefor,Q41770579,Q5878048,Q41532587,135948
codefor,Q41770581,Q11403010,Q641600,47740
codefor,Q41770583,Q9499044,Q641600,35543
codefor,Q41770584,Q4778663,Q641600,20497
codefor,Q41770585,Q11662287,Q641600,19004
codefor,Q41770587,Q11662287,Q41040535,56011
codefor,Q41770589,Q11662288,Q641600,16510
codefor,Q41770590,Q11662288,Q354239,4115
codefor,Q41770593,Q11662288,Q41040535,51096
codefor,Q41770594,Q11662288,Q232595,128740
codefor,Q41770595,Q49876,Q641600,21549
codefor,Q41770601,Q11453772,Q354239,2413
codefor,Q41770602,Q11453772,Q41532587,78704
codefor,Q41770603,Q11453772,Q21499745,10001
codefor,Q41770605,Q11453778,Q641600,20469
codefor,Q41770606,Q11453778,Q41040535,40670
codefor,Q41770609,Q11453779,Q41040535,34424
codefor,Q41770610,Q11453781,Q641600,20638
codefor,Q41770611,Q11595528,Q641600,14584
codefor,Q41770613,Q11595529,Q641600,13642
codefor,Q41770614,Q11595529,Q41040535,73163
codefor,Q41770615,Q8047616,Q641600,15354
codefor,Q41770616,Q8047616,Q41040535,62407
codefor,Q41770618,Q11468571,Q641600,10923
codefor,Q41770619,Q11468573,Q641600,11241
codefor,Q41770620,Q11468573,Q354239,2329
codefor,Q41770622,Q11593328,Q641600,18279
codefor,Q41770623,Q11593328,Q41040535,59377
codefor,Q41770624,Q5507720,Q641600,11196
codefor,Q41770625,Q5507720,Q232595,60006
codefor,Q41770626,Q11593331,Q641600,9492
codefor,Q41770628,Q11593331,Q835109,8063
codefor,Q41770630,Q11593333,Q641600,16154
codefor,Q41770631,Q11593333,Q835109,7186
codefor,Q41770632,Q11617501,Q641600,22034
codefor,Q41770634,Q11617501,Q354239,2564
codefor,Q41770635,Q11617503,Q641600,14675
codefor,Q41770636,Q11617504,Q641600,34112
codefor,Q41770639,Q5983712,Q641600,12548
codefor,Q41770640,Q11617507,Q641600,10027
codefor,Q41770642,Q11617507,Q41040535,56098
codefor,Q41770643,Q11617508,Q641600,24227
codefor,Q41770646,Q11617508,Q41040535,96987
codefor,Q41770647,Q11617508,Q232595,102820
codefor,Q41770649,Q11617509,Q641600,18308
codefor,Q41770650,Q11535297,Q641600,16463
codefor,Q41770651,Q11535297,Q327591,33681
codefor,Q41770653,Q56855,Q641600,9990
codefor,Q41770655,Q56855,Q354239,1561
codefor,Q41770656,Q11535301,Q641600,16741
codefor,Q41770657,Q11535301,Q41040535,76294
codefor,Q41770658,Q11535303,Q641600,13485
codefor,Q41770659,Q5618871,Q641600,25818
codefor,Q41770662,Q11609702,Q641600,21908
codefor,Q41770664,Q11609704,Q41532587,67456
codefor,Q41770665,Q5618873,Q641600,24006
codefor,Q41770666,Q11609705,Q641600,14935
codefor,Q41770667,Q11609705,Q835109,14008
codefor,Q41770669,Q11426787,Q641600,24624
codefor,Q41770670,Q11426788,Q641600,19878
codefor,Q41770671,Q11426788,Q41040535,86007
codefor,Q41770673,Q11426787,Q41040535,27387
codefor,Q41770675,Q11426789,Q835109,36755
codefor,Q41770677,Q11426791,Q641600,32017
codefor,Q41770678,Q11426791,Q21499745,13926
codefor,Q41770679,Q11426793,Q641600,33593
codefor,Q41770680,Q11426795,Q641600,34846
codefor,Q41770682,Q11426795,Q41040535,64783
codefor,Q41770685,Q7402528,Q354239,2009
codefor,Q41770686,Q7402528,Q41532587,73250
codefor,Q41770687,Q11426798,Q641600,29125
codefor,Q41770688,Q11426798,Q41040535,50165
codefor,Q41770689,Q11426798,Q21499745,23362
codefor,Q41770690,Q11426798,Q232595,74287
codefor,Q41770692,Q11426801,Q641600,29020
codefor,Q41770694,Q11426803,Q641600,36830
codefor,Q41770695,Q11426805,Q641600,33204
codefor,Q41770696,Q11426804,Q641600,40822
codefor,Q41770697,Q11426804,Q41040535,57599
codefor,Q41770698,Q11406376,Q641600,12758
codefor,Q41770700,Q11406377,Q641600,23968
codefor,Q41770702,Q11406377,Q41040535,45345
codefor,Q41770703,Q11406378,Q641600,22182
codefor,Q41770705,Q11406378,Q835109,10713
codefor,Q41770706,Q11406379,Q41532587,57431
codefor,Q41770708,Q11406380,Q641600,24231
codefor,Q41770709,Q11406381,Q641600,16491
codefor,Q41770711,Q11406381,Q41532587,54035
codefor,Q41770712,Q11406381,Q21499745,14885
codefor,Q41770714,Q5095299,Q641600,14955
codefor,Q41770715,Q5095299,Q232595,61804
codefor,Q41770719,Q11406387,Q21499745,10145
codefor,Q41770721,Q11406389,Q641600,15025
codefor,Q41770722,Q11406389,Q41532587,51776
codefor,Q41770723,Q11406388,Q641600,33752
codefor,Q41770724,Q11406390,Q641600,28488
codefor,Q41770725,Q6360240,Q41040535,58053
codefor,Q41770726,Q6360245,Q641600,21874
codefor,Q41770727,Q6360245,Q354239,3133
codefor,Q41770729,Q11589208,Q641600,36627
codefor,Q41770730,Q11589208,Q41040535,62779
codefor,Q41770731,Q11589209,Q641600,27640
codefor,Q41770734,Q11589211,Q835109,38242
codefor,Q41770735,Q11589210,Q641600,28927
codefor,Q41770737,Q11589212,Q641600,27798
codefor,Q41770740,Q6360252,Q641600,16699
codefor,Q41770741,Q6360252,Q41532587,47191
codefor,Q41770742,Q11589215,Q641600,23476
codefor,Q41770743,Q11589215,Q354239,4177
codefor,Q41770746,Q11589219,Q41532587,67020
codefor,Q41770747,Q11589221,Q641600,45497
codefor,Q41770750,Q11589222,Q21499745,24424
codefor,Q41770751,Q11589213,Q641600,40252
codefor,Q41770753,Q11589224,Q41532587,87819
codefor,Q41770754,Q11589223,Q641600,21241
codefor,Q41770755,Q11589225,Q641600,32290
codefor,Q41770763,Q11503151,Q641600,10055
codefor,Q41770766,Q7034372,Q354239,5735
codefor,Q41770770,Q11503158,Q327591,92080
codefor,Q41770773,Q11456545,Q835109,32348
codefor,Q41770774,Q11456548,Q641600,17576
codefor,Q41770775,Q11456543,Q641600,13471
codefor,Q41770776,Q11586035,Q641600,16152
codefor,Q41770779,Q6080258,Q641600,9920
codefor,Q41770780,Q6080258,Q354239,3472
codefor,Q41770781,Q6080258,Q41040535,58164
codefor,Q41770782,Q11586036,Q641600,5212
codefor,Q41770784,Q11586036,Q232595,80416
codefor,Q41770785,Q11591498,Q641600,22931
codefor,Q41770788,Q11591498,Q41040535,64086
codefor,Q41770789,Q11591499,Q641600,12873
codefor,Q41770791,Q4356088,Q641600,21320
codefor,Q41770792,Q4356088,Q354239,7119
codefor,Q41770793,Q11469742,Q641600,5414
codefor,Q41770795,Q11469742,Q41532587,22684
codefor,Q41770800,Q11654363,Q21499745,22817
codefor,Q41770804,Q11654364,Q21499745,34073
codefor,Q41770805,Q11654365,Q641600,34462
codefor,Q41770806,Q11654365,Q354239,3687
codefor,Q41770808,Q11654368,Q641600,40898
codefor,Q41770813,Q11654371,Q41040535,43425
codefor,Q41770814,Q11471571,Q354239,5124
codefor,Q41770815,Q11663236,Q641600,14732
codefor,Q41770816,Q11663245,Q41040535,29905
codefor,Q41770817,Q11663236,Q41532587,38531
codefor,Q41770818,Q11663238,Q641600,22173
codefor,Q41770820,Q11663238,Q41040535,75771
codefor,Q41770822,Q11663243,Q641600,20750
codefor,Q41770824,Q11663244,Q641600,19455
codefor,Q41770826,Q11663245,Q641600,10980
codefor,Q41770828,Q11663246,Q641600,19645
codefor,Q41770830,Q11494336,Q641600,27044
codefor,Q41770834,Q11494337,Q641600,14378
codefor,Q41770835,Q11494340,Q641600,19589
codefor,Q41770837,Q11494339,Q641600,16969
codefor,Q41770839,Q11494339,Q41040535,60955
codefor,Q41770844,Q11494341,Q41040535,77224
codefor,Q41770846,Q4696552,Q835109,12764
codefor,Q41770847,Q11494344,Q641600,27423
codefor,Q41770848,Q11469742,Q41040535,9719
codefor,Q41770850,Q4696552,Q641600,23499
codefor,Q41770851,Q11494353,Q641600,19931
codefor,Q41770852,Q11494354,Q641600,25489
codefor,Q41770856,Q6843509,Q641600,11864
codefor,Q41770857,Q6843509,Q354239,6353
codefor,Q41770859,Q11357847,Q641600,15724
codefor,Q41770863,Q11564691,Q354239,2576
codefor,Q41770864,Q11564692,Q641600,15502
codefor,Q41770866,Q11564692,Q41040535,48018
codefor,Q41770867,Q11564693,Q641600,22896
codefor,Q41770869,Q11564693,Q232595,80114
codefor,Q41770872,Q6452111,Q641600,21234
codefor,Q41770873,Q6452111,Q232595,60277
codefor,Q41770875,Q6452111,Q327591,7464
codefor,Q41770877,Q11375292,Q641600,34998
codefor,Q41770880,Q376715,Q641600,22858
codefor,Q41770882,Q376715,Q21499745,64530
codefor,Q41770883,Q6360245,Q41040535,18583
codefor,Q41770884,Q11441203,Q641600,16399
codefor,Q41770885,Q11441203,Q41532587,14568
codefor,Q41770886,Q11441204,Q641600,36102
codefor,Q41770887,Q11441205,Q641600,30733
codefor,Q41770889,Q11441206,Q641600,26337
codefor,Q41770890,Q11441209,Q641600,29164
codefor,Q41770892,Q11393158,Q41040535,30937
codefor,Q41770893,Q7105540,Q641600,18373
codefor,Q41770894,Q11441208,Q641600,14498
codefor,Q41770896,Q11441208,Q41532587,26140
codefor,Q41770898,Q11441213,Q641600,54958
codefor,Q41770900,Q11441214,Q21499745,72446
codefor,Q41770901,Q17221683,Q641600,31429
codefor,Q41770903,Q17221683,Q354239,9522
codefor,Q41770904,Q17221683,Q41532587,45313
codefor,Q41770906,Q7105541,Q641600,39602
codefor,Q41770908,Q7105541,Q21499745,66780
codefor,Q41770909,Q11441222,Q641600,15197
codefor,Q41770911,Q11441222,Q41532587,31197
codefor,Q41770915,Q11393144,Q641600,24885
codefor,Q41770918,Q11393145,Q641600,19756
codefor,Q41770920,Q11393145,Q41040535,38388
codefor,Q41770922,Q11393148,Q641600,39502
codefor,Q41770924,Q11393148,Q327591,41238
codefor,Q41770925,Q11393149,Q641600,23762
codefor,Q41770926,Q11393149,Q41040535,28852
codefor,Q41770927,Q11393152,Q641600,23513
codefor,Q41770929,Q11393152,Q327591,26635
codefor,Q41770931,Q11393156,Q41532587,69878
