解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,,
進捗率(完了日をカウント)→,42.61%,,,,
Wikidata ID,name,,,,
UI用DBカラム名,name_full,name_last,name_first,,
wikdiata_concept,label,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,,
Q11520430,本村賢太郎,本村,賢太郎,Loading...,
Q41770731,中野渡旬,中野渡,旬,Loading...,
Q6203082,赤間二郎,赤間,二郎,Loading...,
Q41770734,佐々木克己,佐々木,克己,Loading...,
Q1161024,河野太郎,河野,太郎,Loading...,
Q11368828,乃木涼介,乃木,涼介,Loading...,
Q11609955,義家弘介,義家,弘介,Loading...,
Q41770735,池田博英,池田,博英,Loading...,
Q11488572,後藤祐一,後藤,祐一,Loading...,
Q11589542,神山洋介,神山,洋介,Loading...,
Q41770737,横田英司,横田,英司,Loading...,
Q11570409,牧島かれん,牧島,かれん,Loading...,
Q11355765,三村和也,三村,和也,Loading...,
Q5209617,山際大志郎,山際,大志郎,Loading...,
Q5100105,西村智奈美,西村,智奈美,Loading...,
Q11585604,石崎徹,石崎,徹,Loading...,
Q41770763,五十嵐健彦,五十嵐,健彦,Loading...,
Q5349200,鷲尾英一郎,鷲尾,英一郎,Loading...,
Q11606064,細田健一,細田,健一,,別人？
Q17158549,斎藤洋明,斎藤,洋明,Loading...,
Q11678114,黒岩宇洋,黒岩,宇洋,Loading...,
Q6739516,菊田真紀子,菊田,真紀子,Loading...,
Q11646784,金子恵美,金子,恵美,Loading...,
Q1620229,泉田裕彦,泉田,裕彦,Loading...,
Q41770766,笠原麗香,笠原,麗香,Loading...,
Q11435293,大平悦子,大平,悦子,Loading...,
Q7504756,高鳥修一,高鳥,修一,Loading...,
Q41770770,梅谷守,梅谷,守,,
Q21655857,吉田豊史,吉田,豊史,Loading...,
Q11577205,田畑裕明,田畑,裕明,Loading...,
Q41770773,山崎彰,山崎,彰,,
Q1656896,宮腰光寛,宮腰,光寛,Loading...,
Q41770774,坂本洋史,坂本,洋史,Loading...,
Q11534806,柴田巧,柴田,巧,Loading...,
Q11544282,橘慶一郎,橘,慶一郎,Loading...,
Q41770776,黒崎清則,黒崎,清則,Loading...,
Q10856313,田中美絵子,田中,美絵子,Loading...,
Q3136350,馳浩,馳,浩,Loading...,
Q41770780,宮元智,宮元,智,Loading...,
Q17158871,佐々木紀,佐々木,紀,Loading...,
Q41770779,本田正和,本田,正和,Loading...,
Q41770781,柴田未来,柴田,未来,Loading...,
Q11638747,近藤和也,近藤,和也,Loading...,
Q41770784,西田昭二,西田,昭二,Loading...,
Q41770785,金元幸枝,金元,幸枝,-1,
Q1654408,稲田朋美,稲田,朋美,Loading...,
Q41770788,鈴木宏治,鈴木,宏治,Loading...,
Q11500159,斉木武志,斉木,武志,Loading...,
Q7850389,高木毅,高木,毅,Loading...,
Q41770791,宮内現,宮内,現,Loading...,
Q41770792,西脇愛,西脇,愛,Loading...,
Q11364418,中島克仁,中島,克仁,Loading...,
Q11427301,堀内詔子,堀内,詔子,Loading...,
Q41770793,大久保令子,大久保,令子,Loading...,
Q41770795,小林弘幸,小林,弘幸,Loading...,
Q6433881,長崎幸太郎,長崎,幸太郎,Loading...,
Q41770848,井桁亮,井桁,亮,Loading...,
Q11461246,小松裕,小松,裕,Loading...,
Q7677369,篠原孝,篠原,孝,Loading...,
Q41770800,橋本将之,橋本,将之,Loading...,
Q6882969,下条みつ,下条,みつ,Loading...,
Q41770804,手塚大輔,手塚,大輔,Loading...,
Q7505129,務台俊介,務台,俊介,Loading...,
Q11518159,木内均,木内,均,Loading...,
Q41770805,小金沢由佳,小金沢,由佳,Loading...,
Q41770806,及川幸久,及川,幸久,Loading...,
Q11373350,井出庸生,井出,庸生,Loading...,
Q11457846,寺島義幸,寺島,義幸,Loading...,
Q41770808,毛利栄子,毛利,栄子,Loading...,
Q7496422,後藤茂之,後藤,茂之,Loading...,
Q41770813,中嶋康介,中嶋,康介,Loading...,
Q5986289,宮下一郎,宮下,一郎,Loading...,
Q41770814,野原典子,野原,典子,Loading...,
Q41794089,吉田里江,吉田,里江,Loading...,
Q459698,野田聖子,野田,聖子,Loading...,別人？
Q41794090,森桜房義,森桜,房義,Loading...,
Q1340817,棚橋泰文,棚橋,泰文,Loading...,
Q41794091,井上諭,井上,諭,Loading...,
Q11656652,阪口直人,阪口,直人,Loading...,
Q8054534,武藤容治,武藤,容治,Loading...,
Q41794096,金子俊平,金子,俊平,Loading...,
Q11376723,今井雅人,今井,雅人,Loading...,
Q41794095,小関祥子,小関,祥子,Loading...,
Q11657599,阿知波吉信,阿知波,吉信,Loading...,
Q1704969,古屋圭司,古屋,圭司,Loading...,
Q11462267,小池政就,小池,政就,Loading...,
Q41770815,鈴木千佳,鈴木,千佳,Loading...,
Q41770817,青山雅幸,青山,雅幸,Loading...,
Q276275,上川陽子,上川,陽子,,
Q41770818,四ツ谷恵,四ツ谷,恵,Loading...,
Q41770820,松尾勉,松尾,勉,Loading...,
Q11373633,井林辰憲,井林,辰憲,Loading...,
Q11455005,宮澤博行,宮澤,博行,Loading...,
Q11459848,小山展弘,小山,展弘,,
Q11529448,松原聡,松原,聡,Loading...,
Q9047844,田中健,田中,健,Loading...,
Q8056243,望月義夫,望月,義夫,Loading...,
Q41770822,井口昌彦,井口,昌彦,Loading...,
Q11413102,吉川赳,吉川,赳,Loading...,
Q1135729,細野豪志,細野,豪志,Loading...,
Q11400147,勝俣孝明,勝俣,孝明,Loading...,
Q41770824,内田豊,内田,豊,Loading...,
Q7504421,渡辺周,渡辺,周,Loading...,
Q41770816,福村隆,福村,隆,Loading...,
Q41770826,野沢正司,野沢,正司,Loading...,
Q11425985,城内実,城内,実,Loading...,
Q41771061,日吉雄太,日吉,雄太,Loading...,
Q41770828,嶋田初江,嶋田,初江,Loading...,
Q18458881,源馬謙太郎,源馬,謙太郎,Loading...,
Q935199,塩谷立,塩谷,立,Loading...,
Q11414054,吉田統彦,吉田,統彦,Loading...,
Q11568677,熊田裕通,熊田,裕通,Loading...,
Q41770846,平山良平,平山,良平,Loading...,
Q11577186,田畑毅,田畑,毅,Loading...,
Q41770847,酒井健太朗,酒井,健太朗,Loading...,
Q1949760,古川元久,古川,元久,Loading...,
Q11551703,池田佳隆,池田,佳隆,Loading...,
Q653000,近藤昭一,近藤,昭一,Loading...,
Q8056240,牧義夫,牧,義夫,Loading...,
Q11479573,工藤彰三,工藤,彰三,Loading...,
Q11590601,神田憲次,神田,憲次,Loading...,
Q582685,赤松広隆,赤松,広隆,Loading...,
Q41770850,田上光徳,田上,光徳,Loading...,
Q11539787,森本和義,森本,和義,Loading...,
Q5752415,丹羽秀樹,丹羽,秀樹,Loading...,
Q11649031,鈴木淳司,鈴木,淳司,Loading...,
Q11467778,山尾志桜里,山尾,志桜里,Loading...,
Q784087,伴野豊,伴野,豊,Loading...,
Q7674280,伊藤忠彦,伊藤,忠彦,Loading...,
Q41770851,長友忠弘,長友,忠弘,Loading...,
Q41770852,渡辺裕,渡辺,裕,,
Q11651619,長坂康正,長坂,康正,Loading...,
Q6883317,岡本充功,岡本,充功,Loading...,
Q41770830,板倉正文,板倉,正文,Loading...,
Q11450236,安井美沙子,安井,美沙子,Loading...,
Q11522062,杉本和巳,杉本,和巳,Loading...,
Q7706881,江崎鐵磨,江崎,鐵磨,Loading...,
Q11391317,八木哲也,八木,哲也,Loading...,
Q41770834,宮地勲,宮地,勲,Loading...,
Q7497524,古本伸一郎,古本,伸一郎,Loading...,
Q11661236,青山周平,青山,周平,Loading...,
Q11644760,重徳和彦,重徳,和彦,Loading...,
Q11438945,大見正,大見,正,Loading...,
Q41770835,下島良一,下島,良一,Loading...,
Q11438832,大西健介,大西,健介,Loading...,
Q41770837,金原信之,金原,信之,Loading...,
Q41770839,田中克典,田中,克典,Loading...,別人？
Q11377132,今枝宗一郎,今枝,宗一郎,Loading...,
Q41770844,関健一郎,関,健一郎,Loading...,
Q11536382,根本幸典,根本,幸典,Loading...,
Q17223599,松田直久,松田,直久,Loading...,
Q1689655,川崎二郎,川崎,二郎,Loading...,
Q1906668,中川正春,中川,正春,Loading...,
Q17159494,島田佳和,島田,佳和,Loading...,
Q41770856,野村真弘,野村,真弘,Loading...,
Q41770857,坂本麻貴,坂本,麻貴,Loading...,
Q513317,岡田克也,岡田,克也,Loading...,
Q1656878,田村憲久,田村,憲久,Loading...,
Q41770859,谷中三好,谷中,三好,Loading...,
Q7051315,三ツ矢憲生,三ツ矢,憲生,Loading...,
Q11624750,藤田大助,藤田,大助,Loading...,
Q11434738,大岡敏孝,大岡,敏孝,Loading...,別人？
Q6088170,田島一成,田島,一成,Loading...,
Q41770863,荒川雅司,荒川,雅司,Loading...,
Q6389276,上野賢一郎,上野,賢一郎,,
Q41770864,石堂淳士,石堂,淳士,Loading...,
Q11546026,武村展英,武村,展英,Loading...,
Q41770866,小川泰江,小川,泰江,Loading...,
