小林　茂樹,小林茂樹,小林,茂樹,自由民主党,近畿ブロック,,元,53,https://twitter.com/ShigekiNara,https://www.facebook.com/jimin.kobayashi,http://www.kobayashi-nara.com/,元県議,53歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
長尾　敬,長尾敬,長尾,敬,自由民主党,近畿ブロック,,前,54,https://twitter.com/takashinagao,https://www.facebook.com/takashinagao.j/,http://www.tnagao.org/,外務委理事,54歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
中山　泰秀,中山泰秀,中山,泰秀,自由民主党,近畿ブロック,,前,47,https://twitter.com/iloveyatchan,https://www.facebook.com/iloveyatchan/,http://www.iloveosaka.jp/,元外務副大臣,47歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
西村　康稔,西村康稔,西村,康稔,自由民主党,近畿ブロック,,前,55,https://twitter.com/nishy03,https://www.facebook.com/yasutoshi.nisimura,http://www.yasutoshi.jp/,官房副長官,55歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
盛山　正仁,盛山正仁,盛山,正仁,自由民主党,近畿ブロック,,前,63,,https://www.facebook.com/moriyama.masahito,http://www.moriyama-hashiru.jp/,党 国土交通部会長,63歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
左藤　章,左藤章,左藤,章,自由民主党,近畿ブロック,,前,66,https://twitter.com/310akirasato,https://www.facebook.com/jimusyo.satoakira,http://www.akira310.com/,元防衛副大臣,66歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
関　芳弘,関芳弘,関,芳弘,自由民主党,近畿ブロック,,前,52,https://twitter.com/sekiyoshihiro,https://www.facebook.com/sekiyoshihiro/,http://3ku-seki.com/,元環境副大臣,52歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
山田　賢司,山田賢司,山田,賢司,自由民主党,近畿ブロック,,前,51,https://twitter.com/Ymd_Knj,https://www.facebook.com/profile.php?id=100002156013195,http://www.yamada-kenji.com/,芦屋キワニスクラブ会長,51歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
山口　壮,山口壮,山口,壮,自由民主党,近畿ブロック,,前,63,,https://www.facebook.com/244yamaguchi,http://www.mission21.gr.jp/,党 政務調査副会長,63歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
高市　早苗,高市早苗,高市,早苗,自由民主党,近畿ブロック,,前,56,https://twitter.com/takaichi_sanae,https://www.facebook.com/profile.php?id=100005766810070,https://www.sanae.gr.jp/,前総務相,56歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
武村　展英,武村展英,武村,展英,自由民主党,近畿ブロック,,前,45,https://twitter.com/‎nobu_takemura,https://www.facebook.com/nobuhide.takemura,http://nobuhide.com/,元内閣政務官,45歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
田中　英之,田中英之,田中,英之,自由民主党,近畿ブロック,,前,47,https://twitter.com/Tanaka_Hide,https://www.facebook.com/hideyuki.tanaka.790,https://www.tanakahideyuki.jp/,地創特委理事,47歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
谷　公一,谷公一,谷,公一,自由民主党,近畿ブロック,,前,65,,https://www.facebook.com/profile.php?id=100004153819189,https://www.tanikouichi.jp/,元復興副大臣,65歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
田野瀬　太道,田野瀬太道,田野瀬,太道,自由民主党,近畿ブロック,,前,43,,https://www.facebook.com/tanose.kashihara?fref=ts,,元文科政務官,43歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
渡海　紀三朗,渡海紀三朗,渡海,紀三朗,自由民主党,近畿ブロック,,前,69,https://twitter.com/tokaikisaburo,https://www.facebook.com/kisaburo.tokai?fref=ts,https://www.kisaburo.net/,元文部科学相,69歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
渡嘉敷　奈緒美,渡嘉敷奈緒美,渡嘉敷,奈緒美,自由民主党,近畿ブロック,,前,55,https://twitter.com/naomi_tokashiki,https://www.facebook.com/naomi.tokashiki.03,http://www.tokashiki.gr.jp/,環境副大臣,55歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
原田　憲治,原田憲治,原田,憲治,自由民主党,近畿ブロック,,前,69,https://twitter.com/harada_kenji,https://www.facebook.com/kenji.harada.12,http://haradakenji.com/,元総務副大臣,69歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
藤井　比早之,藤井比早之,藤井,比早之,自由民主党,近畿ブロック,,前,46,https://twitter.com/FujiiHisayuki,https://www.facebook.com/FujiiHisayuki,http://fujiihisayuki.jp/,元国交政務官,46歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
本田　太郎,本田太郎,本田,太郎,自由民主党,近畿ブロック,,新,43,,https://www.facebook.com/tarohonda1973/,,京都府議会議員,43歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
宗清　皇一,宗清皇一,宗清,皇一,自由民主党,近畿ブロック,,前,47,,https://www.facebook.com/profile.php?id=100008489673816,http://www.kouichi-munekiyo.com/,元府議,47歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
松本　剛明,松本剛明,松本,剛明,自由民主党,近畿ブロック,,前,58,,https://www.facebook.com/%E6%9D%BE%E6%9C%AC-%E3%81%9F%E3%81%91%E3%81%82%E3%81%8D-211674492334258/,http://www.m-takeaki.jp/,元外相,58歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
松島　弘典,松島弘典,松島,弘典,幸福実現党,近畿ブロック,,新,60,,,http://matsushimahironori.blog54.fc2.com/,党幹事長,60歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
湊　侑子,湊侑子,湊,侑子,幸福実現党,近畿ブロック,,新,34,https://twitter.com/minatoyuko,https://www.facebook.com/miw.wld,https://ameblo.jp/minatoyuko/,党近畿比例ブロック副支部長,34歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
