qname,url,type,ident,dst
Q11653978,https://www.facebook.com/%E9%95%B7%E8%B0%B7%E5%B7%9D%E8%B1%8A-165566250542315/,page,165566250542315,https://www.facebook.com/%E9%95%B7%E8%B0%B7%E5%B7%9D%E8%B1%8A-165566250542315/
Q41770709,https://www.facebook.com/ueno.hirotsugu,profile,100002089284351,https://www.facebook.com/ueno.hirotsugu
Q41805301,https://www.facebook.com/takegaharayumiko1/,page,119898685362503,https://www.facebook.com/takegaharayumiko1/
Q41770711,https://www.facebook.com/higuchi.hiroyasu/,page,1687883328144220,https://www.facebook.com/higuchi.hiroyasu/
Q11461955,https://www.facebook.com/hawk.kobayashi/,page,520728771391899,https://www.facebook.com/hawk.kobayashi/
Q11544691,https://www.facebook.com/kushibuchi.mari,profile,100004655801459,https://www.facebook.com/kushibuchi.mari
Q11472782,https://www.facebook.com/kazumasa.okajima,profile,100000576630258,https://www.facebook.com/kazumasa.okajima
Q5770251,https://www.facebook.com/matsunohirokazu,profile,100010426512923,https://www.facebook.com/matsuno.hirokazu
Q41770715,https://www.facebook.com/%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%8D%83%E8%91%89%E7%9C%8C%E7%AC%AC%E5%9B%9B%E9%81%B8%E6%8C%99%E5%8C%BA%E6%94%AF%E9%83%A8%E9%95%B7-%E6%9C%A8%E6%9D%91%E3%81%A6%E3%81%A4%E3%82%84%E4%BA%8B%E5%8B%99%E6%89%80-409534582505208/,page,409534582505208,https://www.facebook.com/%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%8D%83%E8%91%89%E7%9C%8C%E7%AC%AC%E5%9B%9B%E9%81%B8%E6%8C%99%E5%8C%BA%E6%94%AF%E9%83%A8%E9%95%B7-%E6%9C%A8%E6%9D%91%E3%81%A6%E3%81%A4%E3%82%84%E4%BA%8B%E5%8B%99%E6%89%80-409534582505208/
Q41805222,https://www.facebook.com/junko.okano,profile,100002099288160,https://www.facebook.com/junko.okano
Q11470238,https://www.facebook.com/YamaAtsu2311/,page,1144984158929094,https://www.facebook.com/YamaAtsu2311/
Q7046134,https://www.facebook.com/ENDOUNOBUHIKO,profile,100005366827582,https://www.facebook.com/ENDOUNOBUHIKO
Q11574554,https://www.facebook.com/%E7%94%9F%E6%96%B9%E5%B9%B8%E5%A4%AB-549802768388481/,page,549802768388481,https://www.facebook.com/%E7%94%9F%E6%96%B9%E5%B9%B8%E5%A4%AB-549802768388481/
Q11562133,https://www.facebook.com/hiromichi.watanabe.524,profile,100003824433025,https://www.facebook.com/hiromichi.watanabe.524
Q11555503,https://www.facebook.com/hatano.rina,profile,100002001408600,https://www.facebook.com/hatano.rina
Q41770722,https://www.facebook.com/sadamichii,profile,100002356146639,https://www.facebook.com/sadamichii
Q41770722,https://www.facebook.com/%E7%9F%B3%E5%A1%9A%E3%81%95%E3%81%A0%E3%81%BF%E3%81%A1-645048228992505/,page,645048228992505,https://www.facebook.com/%E7%9F%B3%E5%A1%9A%E3%81%95%E3%81%A0%E3%81%BF%E3%81%A1-645048228992505/
Q41770723,https://www.facebook.com/profile.php?id=100008467158841,profile,100008467158841,https://www.facebook.com/profile.php?id=100008467158841
Q6381578,https://www.facebook.com/kazumi.ms/,page,442118219217839,https://www.facebook.com/kazumi.ms/
Q8056290,http://www.facebook.com/yoshitaka.sakurada,profile,100002946771324,https://www.facebook.com/yoshitaka.sakurada
Q41770724,https://www.facebook.com/yasusiro.kamosida,profile,100003922927610,https://www.facebook.com/yasusiro.kamosida
Q11446165,https://www.facebook.com/s.okuno2/,page,1438111769749344,https://www.facebook.com/s.okuno2/
Q41770700,https://www.facebook.com/fumiaki.shiina,profile,100005920742747,https://www.facebook.com/fumiaki.shiina
Q41770702,https://www.facebook.com/ryosuke.tagaya,profile,100002350226750,https://www.facebook.com/ryosuke.tagaya
Q41770703,https://www.facebook.com/wataame.hare,profile,100002346191716,https://www.facebook.com/wataame.hare
Q11542202,https://www.facebook.com/seikatsuouenpapa/,page,337784686310711,https://www.facebook.com/seikatsuouenpapa/
Q18817567,https://www.facebook.com/saito9kazuko,page,919094784819408,https://www.facebook.com/saito9kazuko/
Q41770706,https://www.facebook.com/shin.miyakawa.8/,page,340404476405384,https://www.facebook.com/shin.miyakawa.8/
Q11580448,https://www.facebook.com/people/%E7%99%BD%E9%A0%88%E8%B3%80%E8%B2%B4%E6%A8%B9/100006715721289,profile,100006715721289,https://www.facebook.com/profile.php?id=100006715721289
Q41805240,https://www.facebook.com/matsuzawakaoru.kibou/,page,534616243548008,https://www.facebook.com/matsuzawakaoru.kibou/
Q41770043,https://www.facebook.com/profile.php?id=100022300025896,profile,100022300025896,https://www.facebook.com/profile.php?id=100022300025896
Q41770043,https://www.facebook.com/Haraguchi.Miki.HRP,page,1973946782877937,https://www.facebook.com/Haraguchi.Miki.HRP/
Q806947,https://www.facebook.com/banri.kaieda/,page,591510874215375,https://www.facebook.com/banri.kaieda/
Q11470608,https://www.facebook.com/mikiprofile,page,267123770118057,https://www.facebook.com/mikiprofile/
Q2394829,https://www.facebook.com/profile.php?id=100011794540016,profile,100011794540016,https://www.facebook.com/profile.php?id=100011794540016
Q2394829,https://www.facebook.com/hatoyamataro/,page,1442034879178432,https://www.facebook.com/hatoyamataro/
Q41770239,https://www.facebook.com/matsuoakihiro75,page,179177225786888,https://www.facebook.com/matsuoakihiro75/
Q11638274,https://www.facebook.com/kiyototsujitokyo2nd,page,292441330863481,https://www.facebook.com/kiyototsujitokyo2nd/
Q41770450,https://www.facebook.com/katusuke.kouzai,profile,100002139671522,https://www.facebook.com/katusuke.kouzai
Q1336805,https://www.facebook.com/matsubara.jin.office,profile,100005255228554,https://www.facebook.com/matsubara.jin.office
Q1336805,https://www.facebook.com/matsubara.jin0731,page,113988042441200,https://www.facebook.com/matsubara.jin0731/
Q506730,https://www.facebook.com/ishihara.hirotaka.18,page,602909303098086,https://www.facebook.com/ishihara.hirotaka.18/
Q41770452,https://www.facebook.com/kohei.aoyama.90,profile,100003342912573,https://www.facebook.com/kohei.aoyama.90
Q41693822,https://www.facebook.com/namba.michiyo,profile,100001822013938,https://www.facebook.com/namba.michiyo
Q11373555,https://www.facebook.com/masae.ido,profile,100002083638526,https://www.facebook.com/masae.ido
Q11373555,https://www.facebook.com/idomasae,page,421818604849463,https://www.facebook.com/idomasae/
Q6782264,https://www.facebook.com/masaaki.taira.7,profile,100001928004939,https://www.facebook.com/masaaki.taira.7
Q6782264,https://www.facebook.com/tairamasaaki,page,256399194451012,https://www.facebook.com/tairamasaaki/
Q6864590,https://www.facebook.com/fukudamineyuki,profile,100002038508412,https://www.facebook.com/fukudamineyuki
Q11496954,https://www.facebook.com/t440com/,page,1504171016515742,https://www.facebook.com/t440com/
Q6389383,https://www.facebook.com/wakamiyakenji,profile,100004377303980,https://www.facebook.com/wakamiyakenji
Q369170,https://www.facebook.com/profile.php?id=100022320320530,profile,100022320320530,https://www.facebook.com/profile.php?id=100022320320530
Q369170,https://www.facebook.com/uematsuemiko/,page,1812815112341815,https://www.facebook.com/uematsuemiko/
Q41770457,https://www.facebook.com/profile.php?id=100014180830459,profile,100014180830459,https://www.facebook.com/profile.php?id=100014180830459
Q41770457,https://www.facebook.com/maki.nakaoka.98,profile,100003574226793,https://www.facebook.com/maki.nakaoka.98
Q41770457,https://www.facebook.com/nakaoka.maki.97,page,597081713829263,https://www.facebook.com/nakaoka.maki.97/
Q18700919,https://www.facebook.com/pages/%E8%90%BD%E5%90%88%E8%B2%B4%E4%B9%8B-%E4%BA%8B%E5%8B%99%E6%89%80%E7%B6%AD%E6%96%B0%E3%81%AE%E5%85%9A-%E6%9D%B1%E4%BA%AC6%E5%8C%BA%E6%94%AF%E9%83%A8-%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA/1000693033304452,page,1000693033304452,https://www.facebook.com/ochiaitakayuki.setagaya/
Q7677226,https://www.facebook.com/takao.ochi.9,profile,100002529254374,https://www.facebook.com/takao.ochi.9
Q263777,https://www.facebook.com/nagatsumaakira,page,664877743531881,https://www.facebook.com/nagatsumaakira/
Q5508556,https://www.facebook.com/matsumoto.fumiaki,profile,100005870529344,https://www.facebook.com/matsumoto.fumiaki
Q41770460,https://www.facebook.com/fumiko.osanai,profile,100001468028994,https://www.facebook.com/fumiko.osanai
Q41770460,https://www.facebook.com/osanai235/,page,1808612966053544,https://www.facebook.com/osanai235/
Q11518163,https://www.facebook.com/takatane.kiuchi,profile,100001962362368,https://www.facebook.com/takatane.kiuchi
