たなべ雄治,たなべ 雄治,たなべ ゆうじ,岡山2区,,https://www.facebook.com/yuji.tanabe.501,https://twitter.com/tanabe_yuji,http://ameblo.jp/tanabe-yuji/,幸福実現党 岡山県本部代表（兼）岡山第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
水野善丈,水野 善丈,みずの よしひろ,広島2区,,https://www.facebook.com/yoshio.soccer.yoshi,https://twitter.com/yoshio7_m,https://ameblo.jp/mizumizu-yoshi/,幸福実現党 広島県本部代表代行（兼）広島第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
野村昌央,野村 昌央,のむら まさてる,広島3区,,https://www.facebook.com/masateru.nomura,https://twitter.com/nomuramasateru,,幸福実現党 広島第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
かわい美和子,かわい 美和子,かわい みわこ,山口1区,,https://www.facebook.com/miwakohrp,https://twitter.com/miwako_hrp,http://ameblo.jp/kawaimiwako/,幸福実現党 山口第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
福山まさとし,福山 まさとし,ふくやま まさとし,徳島2区,,https://www.facebook.com/masatoshi.fukuyama.1,https://twitter.com/seitikawashima,http://ameblo.jp/ma-fukuyama/,幸福実現党 徳島県本部代表代行（兼）徳島第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
森田こうじ,森田 こうじ,もりた こうじ,愛媛3区,,https://www.facebook.com/morita.kojihrp,,http://ameblo.jp/morita-koji,幸福実現党 愛媛第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
西原ただひろ,西原 ただひろ,にしはら　ただひろ,福岡6区,,https://www.facebook.com/profile.php?id=100013230707179,https://twitter.com/nishihara_tada,,幸福実現党 福岡県本部総務会長（兼）福岡第6選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
中島とおる,中島 とおる,なかしま とおる,佐賀1区,,https://www.facebook.com/sagakoufukunakashima?_rdr=p,https://twitter.com/toru_nakashima_,http://ameblo.jp/nakashimatoru,幸福実現党 佐賀第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
木下じゅん子,木下 じゅん子,きのした じゅんこ,熊本2区,,https://www.facebook.com/profile.php?id=100008594358938,,http://ameblo.jp/kumakumael/,幸福実現党 熊本第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
上田あつこ,上田 あつこ,うえだ あつこ,大分2区,,https://www.facebook.com/profile.php?id=100005729313897,https://twitter.com/XdauiB5HHmwisqv,http://ameblo.jp/uedaatsuko,幸福実現党 大分第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
こうの一郎,こうの 一郎,こうの いちろう,宮崎2区,,https://www.facebook.com/kouno.ichirou,https://twitter.com/hrpkonoichiro,http://ameblo.jp/konoichiro,幸福実現党 宮崎第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
下地れいこ,下地 れいこ,しもじ れいこ,沖縄1区,,https://www.facebook.com/profile.php?id=100008282590315,https://twitter.com/reikoshimoji,http://shimojireiko.ti-da.net/,幸福実現党 沖縄県本部代表（兼）沖縄第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
金城タツロー,金城 タツロー,きんじょう たつろう,沖縄3区,,http://facebook.com/elmichiko,https://twitter.com/kinjou_tatsurou,http://ishin0507.ti-da.net/,幸福実現党 沖縄第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
富川やすまさ,富川 やすまさ,とみかわ やすまさ,沖縄4区,,https://www.facebook.com/yasumasa.tomikawa,https://twitter.com/_tomikawa,https://ameblo.jp/tomikawa-yasumasa/,幸福実現党 沖縄第4選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
,,,,,,,,,https://candidates.hr-party.jp/elections/2017/1185/
