Wikidata ID,name,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,
Q11540315,森 ゆうこ [森 裕子],,,もり ゆうこ,希望,,,,新潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17220450,森本 真治,,,もりもと しんじ,民進,,,,広島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11539458,森屋 宏,,,もりや ひろし,自民,,,,山梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17221388,矢倉 克夫,,,やくら かつお,公明,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044131,矢田 わか子 [矢田 稚子],,,やた わかこ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17221291,薬師寺 みちよ [齋藤 道代],,,やくしじ みちよ,無ク,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1134738,柳田 稔,,,やなぎだ みのる,民進,,,,広島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7678552,柳本 卓治,,,やなぎもと たくじ,自民,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11466703,山口 和之,,,やまぐち かずゆき,無所属,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q977641,山口 那津男,,,やまぐち なつお,公明,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2225687,山崎 正昭,,,やまざき まさあき,自民,,,,福井,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17223414,山下 雄平,,,やました ゆうへい,自民,,,,佐賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8056133,山下 芳生,,,やました よしき,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044103,山添 拓,,,やまぞえ たく,共産,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11470188,山田 修路,,,やまだ しゅうじ,自民,,,,石川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7827790,山田 俊男,,,やまだ としお,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1620290,山田 宏,,,やまだ ひろし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q534539,山谷 えり子 [小川 惠里子],,,やまたに えりこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1655599,山本 一太,,,やまもと いちた,自民,,,,群馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6360206,山本 香苗 [池田 香苗],,,やまもと かなえ,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6314438,山本 順三,,,やまもと じゅんぞう,自民,,,,愛媛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1093223,山本 太郎,,,やまもと たろう,希望,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5771133,山本 博司,,,やまもと ひろし,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11542504,横山 信一,,,よこやま しんいち,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7420872,吉川 沙織,,,よしかわ さおり,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17230660,吉川 ゆうみ [吉川 有美],,,よしかわ ゆうみ,自民,,,,三重,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5770562,吉田 博美,,,よしだ ひろみ,自民,,,,長野,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q465290,蓮舫 [村田 蓮舫],,,れんほう,民進,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11418015,和田 政宗,,,わだ まさむね,自民,,,,宮城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11616441,若松 謙維,,,わかまつ かねしげ,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11562408,渡辺 猛之,,,わたなべ たけゆき,自民,,,,岐阜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17217683,渡辺 美知太郎,,,わたなべ みちたろう,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q361715,渡辺 喜美,,,わたなべ よしみ,無所属,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11562654,渡邉 美樹,,,わたなべ みき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
