岡島　一正,岡島一正,岡島,一正,民主,千葉県 3区,元,59,https://twitter.com/kazu_okajima,https://www.facebook.com/kazumasa.okajima,http://www.k-okajima.jp/,元決算委理事,59歳
櫛渕　万里,櫛渕万里,櫛渕,万里,希望,千葉県 3区,元,49,https://twitter.com/‎kushibuchi,https://www.facebook.com/kushibuchi.mari?ref=ts&fref=ts,http://www.kushibuchi-mari.jp/,元経産委理事,49歳
松野　博一,松野博一,松野,博一,自民,千葉県 3区,前,54,,https://www.facebook.com/%E6%9D%BE%E9%87%8E%E5%8D%9A%E4%B8%80-326565974070639/?fref=ts,http://www.hiro-matsuno.net/,前文部科学相,54歳
木村　哲也,木村哲也,木村,哲也,自民,千葉県 4区,新,48,,,http://tetsuya-kimura.com/,元県議,48歳
野田　佳彦,野田佳彦,野田,佳彦,無所属,千葉県 4区,前,60,https://twitter.com/NODAYOSHI55,https://www.facebook.com/%E9%87%8E%E7%94%B0-%E4%BD%B3%E5%BD%A6-Yoshihiko-Noda-256174907747067/?fref=ts,https://www.nodayoshi.gr.jp/,党幹事長,60歳
深津　俊郎,深津俊郎,深津,俊郎,共産,千葉県 4区,新,69,,,,党地区副委長,69歳
岡野　純子,岡野純子,岡野,純子,希望,千葉県 5区,新,39,https://twitter.com/junko_okano,https://www.facebook.com/junko.okano,,元アナウンサー,39歳
薗浦　健太郎,薗浦健太郎,薗浦,健太郎,自民,千葉県 5区,前,45,https://twitter.com/sonourakentaro,https://www.facebook.com/kentarou.sonoura?fref=ts,http://www.sonoken.org/,首相補佐官,45歳
山田　厚史,山田厚史,山田,厚史,民主,千葉県 5区,新,,,,,,歳
生方　幸夫,生方幸夫,生方,幸夫,民主,千葉県 6区,元,69,,https://www.facebook.com/%E7%94%9F%E6%96%B9%E5%B9%B8%E5%A4%AB-549802768388481/,http://www.ubu2.jp/,元環境副大臣,69歳
遠藤　宣彦,遠藤宣彦,遠藤,宣彦,希望,千葉県 6区,元,54,https://twitter.com/ENDO_NOBUHIKO,https://www.facebook.com/ENDOUNOBUHIKO,,元衆議院議員,54歳
星　健太郎,星健太郎,星,健太郎,維新,千葉県 6区,新,37,,,http://kentaro.chiba.jp/,元大学教員,37歳
渡辺　博道,渡辺博道,渡辺,博道,自民,千葉県 6区,前,67,,https://www.facebook.com/hiromichi.watanabe.524?hc_ref=ARSLJUwDS72zto6zS0QlNrke0VytrqY68GZ6g7nWcS9dHbhCWkDgJqISSk7NxqoTGRQ,http://www.hiromichi21.com/,元経産副大臣,67歳
石塚　貞通,石塚貞通,石塚,貞通,民主,千葉県 7区,新,50,https://twitter.com/Ishiduka_S,https://www.facebook.com/%E7%9F%B3%E5%A1%9A%E3%81%95%E3%81%A0%E3%81%BF%E3%81%A1-645048228992505/,http://www.ishiduka-sadamichi.net/,司法書士,50歳
斎藤　健,斎藤健,斎藤,健,自民,千葉県 7区,前,58,https://twitter.com/saitou_ken,,https://www.saito-ken.jp/,農林水産相,58歳
波多野　里奈,波多野里奈,波多野,里奈,希望,千葉県 7区,新,44,https://twitter.com/1hatanorina,https://www.facebook.com/hatano.rina,,フリーアナウンサー,44歳
渡部　隆夫,渡部隆夫,渡部,隆夫,共産,千葉県 7区,新,74,,,,党地区委員長,74歳
太田　和美,太田和美,太田,和美,希望,千葉県 8区,前,37,https://twitter.com/ota_kazumi,https://www.facebook.com/%E8%A1%86%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E5%A4%AA%E7%94%B0%E3%81%8B%E3%81%9A%E3%81%BF-442118219217839/,http://kazumi.ms/sp/,環境委理事,37歳
小野里　定良,小野里定良,小野里,定良,共産,千葉県 8区,新,70,,https://www.facebook.com/profile.php?id=100008467158841&fref=ts,,元柏市議,70歳
桜田　義孝,桜田義孝,桜田,義孝,自民,千葉県 8区,前,67,,https://www.facebook.com/yoshitaka.sakurada,http://sakurada-yoshitaka.jp/,元文科副大臣,67歳
秋本　真利,秋本真利,秋本,真利,自民,千葉県 9区,前,42,https://twitter.com/akimoto_chiba9,,http://www5a.biglobe.ne.jp/~akimoto/,国交政務官,42歳
奥野　総一郎,奥野総一郎,奥野,総一郎,希望,千葉県 9区,前,53,https://twitter.com/sokuno2,https://www.facebook.com/s.okuno2/,https://s-okuno.jp/,総務委理事,53歳
鴨志田　安代,鴨志田安代,鴨志田,安代,共産,千葉県 9区,新,62,https://twitter.com/ky60954585,,,党地区委員長,62歳
笠原　正実,笠原正実,笠原,正実,共産,千葉県 10区,新,63,,,,党地区委員長,63歳
林　幹雄,林幹雄,林,幹雄,自民,千葉県 10区,前,70,,,http://www.hayashimotoo.jp/,前経済産業相,70歳
